,Accession,Score,pVal (-log10),Rep1delta_SH,Rep2delta_SH,Rep1Group1_R2,Rep1Group2_R2,Rep1Group1_SH,Rep1Group2_SH,Rep1min_Slope,Rep2Group1_R2,Rep2Group2_R2,Rep2Group1_SH,Rep2Group2_SH,Rep2min_Slope
302,PC,0.414,0.419,0.141,0.088,0.995,0.999,3.641,3.499,-0.246,1.0,0.999,3.672,3.605,-0.295
347,RAC2,0.412,0.464,0.288,0.104,0.989,0.952,5.422,5.709,-0.168,0.963,0.97,5.492,5.388,-0.14
278,MSH6,0.41,0.517,0.215,0.08,0.959,0.929,3.265,3.431,-1.108,0.994,0.983,3.168,3.137,-0.432
129,CSF2RA,0.41,0.422,0.096,0.131,0.996,0.99,5.767,5.814,-0.072,0.986,0.987,5.725,5.84,-0.069
421,SLC7A1,0.409,0.433,0.085,0.13,0.981,0.992,7.696,7.717,-0.099,0.984,0.983,7.265,7.356,-0.078
198,GPR180,0.408,0.454,0.475,0.281,0.993,0.955,4.373,4.848,-0.179,0.986,0.985,3.805,3.657,-0.222
458,TRPV2,0.407,0.454,0.074,0.12,0.971,0.975,5.507,5.572,-0.257,0.97,0.968,5.61,5.676,-0.212
324,PROCR,0.406,0.467,0.369,0.183,0.952,0.98,6.718,6.738,-0.069,0.977,0.986,6.493,6.5,-0.043
113,CLEC5A,0.405,0.58,0.327,0.327,0.876,0.954,8.059,7.782,-0.068,0.943,0.9,7.939,7.612,-0.064
227,IL1RAP,0.405,0.425,0.266,0.245,0.986,0.99,5.11,4.88,-0.096,0.995,0.979,5.15,4.96,-0.1
86,CD36,0.403,0.538,0.214,0.404,0.903,0.959,7.498,7.285,-0.041,0.931,0.955,7.778,7.374,-0.045
438,STXBP3,0.401,0.483,0.305,0.471,0.982,0.929,3.723,3.849,-1.12,0.95,0.98,4.315,3.957,-1.013
178,FZD1,0.398,0.428,0.185,0.328,0.987,0.977,7.115,7.208,-0.138,0.972,0.955,7.222,7.413,-0.142
182,GGT1,0.398,0.444,0.208,0.322,0.969,0.977,7.743,7.535,-0.038,0.977,0.967,7.649,7.327,-0.042
144,DSTN,0.395,0.439,0.372,0.162,0.977,0.971,4.902,5.248,-0.17,0.943,0.948,4.711,4.554,-0.207
225,IL10RB,0.394,0.426,0.403,0.181,0.978,0.983,5.737,5.463,-0.124,0.97,0.985,4.799,4.98,-0.095
99,CD84,0.394,0.416,0.139,0.094,0.979,0.994,5.157,5.189,-0.076,0.985,0.997,6.281,6.332,-0.07
367,RTN4R,0.393,0.507,0.106,0.25,0.955,0.922,7.086,7.192,-0.036,0.922,0.941,6.945,6.7,-0.042
122,COPB1,0.392,0.451,0.032,0.23,0.98,0.952,4.481,4.495,-0.242,0.91,0.954,4.62,4.529,-0.247
330,PTPRJ,0.391,0.402,0.12,0.127,0.991,0.995,4.247,4.126,-0.147,0.995,0.997,3.952,3.868,-0.205
288,NLN,0.388,0.617,0.034,0.083,0.882,0.899,5.866,5.9,-0.095,0.862,0.964,5.772,5.762,-0.107
282,NCAM1,0.385,0.452,0.361,0.165,0.982,0.94,6.733,7.094,-0.087,0.914,0.972,6.545,6.38,-0.054
1,ABCC1,0.384,0.454,0.081,0.113,0.961,0.957,5.339,5.42,-0.177,0.975,0.973,5.359,5.452,-0.17
348,RAET1G,0.383,0.424,0.414,0.095,0.988,0.962,6.335,6.749,-0.053,0.988,0.988,6.877,6.915,-0.073
266,MACF1,0.375,0.435,0.095,0.118,0.961,0.966,4.577,4.57,-0.452,0.951,0.932,4.175,4.108,-1.032
217,ICAM1,0.373,0.464,0.061,0.123,0.94,0.954,7.268,7.308,-0.04,0.977,0.988,7.04,7.128,-0.046
308,PDS5A,0.371,0.554,0.292,0.19,0.906,0.903,3.979,4.243,-0.326,0.93,0.983,3.737,3.591,-1.019
56,ATP7A,0.371,0.448,0.236,0.297,0.926,0.982,4.697,4.461,-0.239,0.946,0.968,4.877,4.617,-0.46
276,MPZL1,0.37,0.597,0.032,0.097,0.859,0.917,7.757,7.739,-0.034,0.954,0.956,7.432,7.447,-0.039
220,IFNAR1,0.368,0.395,0.11,0.368,0.977,0.989,5.372,5.335,-0.101,0.958,0.988,5.728,5.36,-0.088
114,CLIC1,0.365,0.464,0.24,0.055,0.971,0.914,4.589,4.829,-1.054,0.875,0.923,4.767,4.712,-0.235
257,LMAN2,0.362,0.377,0.151,0.125,0.995,0.985,4.88,5.031,-0.125,0.997,0.993,4.888,5.012,-0.119
87,CD38,0.359,0.433,0.428,0.091,0.966,0.943,6.869,7.297,-0.059,0.984,0.956,6.868,6.921,-0.043
362,RNASET2,0.358,0.528,0.109,0.234,0.875,0.942,6.895,6.984,-0.066,0.889,0.893,7.278,7.045,-0.071
476,XK,0.356,0.427,0.312,0.091,0.946,0.965,7.395,7.082,-0.06,0.969,0.941,7.503,7.595,-0.069
139,DCXR,0.354,0.39,0.487,0.227,0.987,0.965,5.93,6.417,-0.09,0.896,0.977,6.102,5.874,-0.077
28,AP2B1,0.351,0.496,0.684,0.104,0.894,0.941,4.15,4.834,-0.128,0.838,0.881,5.575,5.538,-0.109
304,PCYOX1L,0.35,0.426,0.352,0.13,0.979,0.926,6.366,6.667,-0.166,0.958,0.963,6.325,6.195,-0.108
110,CLEC12A,0.35,0.435,0.065,0.279,0.934,0.961,6.847,6.866,-0.05,0.983,0.988,6.914,6.635,-0.056
41,ATP11C,0.349,0.452,0.052,0.144,0.96,0.916,5.994,5.994,-0.377,0.902,0.854,6.115,6.175,-0.235
154,EMR2,0.349,0.574,0.24,0.156,0.864,0.902,7.658,7.418,-0.093,0.967,0.948,6.98,7.136,-0.069
