Accession,logFC,-logPval,-logAdjPval,DMSO_1,DMSO_2,DMSO_3,DMSO_4,DMSO_5,5FU_1,5FU_2,5FU_3,5FU_4,5FU_5
Q9H6E4;B0QY51,0.0016,0.0099,0.0002,20133.0,25825.0,23882.0,27305.0,24830.0,26868.0,22257.0,24195.0,27507.0,22588.0
O60568;H7C2S8;H7C2V1;H7C0B8;H7C2A8;C9JU11;C9JIX5,-0.0014,0.0123,0.0002,871320.0,961880.0,886040.0,939780.0,1047800.0,1019600.0,924780.0,917880.0,1000300.0,881850.0
O60443;O60443-3;H7C3W1;H7C147;O60443-2;H7BZJ0;C9JSR4,-0.0031,0.0108,0.0002,129650.0,204650.0,180100.0,202450.0,186690.0,220090.0,133880.0,189030.0,218810.0,153620.0
Q9NS15;Q9NS15-2;E9PKW1;E9PJR2;H0YC99;H0YCX6;E9PR84;E9PRF2;E9PR75;H0YCQ2;E9PPT7;E9PQR0,0.0021,0.0105,0.0002,26358.0,33326.0,32154.0,29955.0,31042.0,32178.0,30500.0,29523.0,31896.0,30218.0
Q9BWT7;Q9BWT7-2;B0QYC4;B0QYC3,-0.0023,0.0082,0.0002,44364.0,74269.0,66095.0,64805.0,58900.0,70948.0,51745.0,60181.0,73401.0,55803.0
O00267-2;O00267;M0QYL9,-0.0033,0.0242,0.0002,328660.0,455430.0,392060.0,429700.0,444470.0,451880.0,367000.0,404410.0,448960.0,389380.0
H3BM91;Q9H0A8;H3BQF2;Q9H0A8-3;Q9H0A8-2;H3BRX0;A0A0B4J287;H3BTV9;H3BPG2,0.0046,0.0245,0.0002,65441.0,86798.0,77441.0,87833.0,88868.0,99505.0,67207.0,82416.0,95098.0,69249.0
O00161;O00161-2;H3BM38;H3BNE1;H3BR18;H3BPJ0;H3BV99;H3BP15;H3BQY9;H3BNG6;H3BU94;H3BR99,-0.0025,0.0214,0.0002,180460.0,206010.0,190370.0,207560.0,223980.0,201600.0,198070.0,204180.0,224810.0,185970.0
O00151,0.0011,0.0094,0.0002,1551500.0,1625400.0,1515000.0,1709800.0,1962900.0,1792700.0,1576000.0,1699900.0,1852000.0,1528300.0
Q96AZ6;H0YMM4;H3BLY5;Q96AZ6-2,0.0025,0.0224,0.0002,48830.0,61270.0,57274.0,62398.0,64360.0,62911.0,54137.0,59026.0,65023.0,55943.0
Q99622;U3KQ85;F5GXW5;U3KQ07,-0.0019,0.0167,0.0002,99874.0,110840.0,99595.0,109600.0,124120.0,114130.0,104550.0,105640.0,119580.0,103730.0
H3BPE1;H3BQK9;Q9UPN3-3;Q9UPN3-2;Q9UPN3-4;Q9UPN3;H0Y390;Q9UPN3-5;E9PNZ4;H0Y4F5;H0Y314;H0Y6T5;H0Y7I1,0.0019,0.0123,0.0002,1672500.0,2173600.0,2013200.0,2192300.0,2153500.0,2336100.0,1722300.0,2109800.0,2361500.0,1823900.0
K7EPH7,0.0021,0.009,0.0002,3517.1,4272.9,4316.8,4165.2,4212.8,4387.7,4007.1,4352.1,4245.1,3731.3
K7EMY4;Q96GY3,0.0053,0.0164,0.0002,1657.1,2284.8,1738.8,1845.9,2487.7,2205.8,1841.2,2036.7,1980.6,2003.6
