Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA52,V_log2.i._TMT_3_iTSA52,V_log2.i._TMT_5_iTSA52,V_log2.i._TMT_7_iTSA52,D_log2.i._TMT_2_iTSA52,D_log2.i._TMT_4_iTSA52,D_log2.i._TMT_6_iTSA52,D_log2.i._TMT_8_iTSA52
O15156,-0.0061,0.0467,0.0071,1989867.0337314713,1964361.552400513,1971316.3322737673,1897399.4849737093,1906515.4080655205,2057527.810160515,1988910.8358494523,1790896.7452731167
Q6P4A8,0.0049,0.0479,0.0071,3439777.148599133,3267503.2266437225,3453678.28649993,3388994.841090321,3517058.5459586736,3447708.1400709213,3272749.1361336885,3277303.723751105
Q9UHB7,0.0032,0.0456,0.0071,2796772.4347335235,2764330.572369351,2767904.1616103887,2814333.5816387553,2783377.0387586444,2812180.936267591,2739524.8127948605,2766660.194292425
Q8NA75,-0.0048,0.0465,0.0071,1561508.9849510477,1603281.853726381,1655057.6843183339,1694559.096558684,1665450.2983930127,1607761.4797733296,1610386.0060462889,1569926.1771577217
Q3SXM5,-0.0057,0.0455,0.0071,3107205.1147354953,3244071.9350542263,3313300.7893822296,3172241.795364828,2922208.9503982575,3258611.658426721,3218802.1705728965,3310087.698322873
Q9NVV0,-0.0096,0.0473,0.0071,794911.3325026013,789076.5115007542,696031.6913305043,688773.7378888848,655595.3426484055,760820.0127231239,790398.7062983573,725291.1853462319
Q9UHF7,0.0063,0.0477,0.0071,1090053.640711426,1093898.4850326348,1067808.9754214408,1159960.7190264037,1164825.6991414733,1098889.316299913,1107186.134205684,1033980.3658177939
Q9Y221,0.0064,0.0462,0.0071,883731.393810685,883731.393810685,858696.2167568154,829410.3357331423,815993.5879334183,911849.997508143,891311.3241794263,831457.1678133465
Q9H5H4,-0.0045,0.0475,0.0071,3431870.3958613263,3488156.405705485,3465586.818393352,3519694.910893034,3603039.7063071476,3467144.633995895,3402563.4871317665,3307216.5207387917
Q8IV48,-0.0053,0.0459,0.0071,5621583.622635657,5766554.862094557,5597535.530597795,5222304.320814126,5235212.54568144,5517843.086496062,5602193.017151131,5641079.6627398
Q9H410,0.0055,0.0472,0.0071,4478531.770634866,4678618.84445244,4517916.479788106,4398595.942865763,4218401.634048782,4761807.173326446,4524211.173782705,4531276.008166168
P30041,0.0047,0.0471,0.0071,775269511.9064928,786488957.9983135,741761393.0588723,718284603.1793045,741761393.0588723,766155089.8176712,753057559.638222,753057559.638222
Q9BUH6,0.0044,0.0454,0.0071,17513896.315838207,16938057.894598715,17529093.929280788,17703881.084097695,17791573.95034462,18051918.694274046,17026699.37553622,16610701.195784304
Q5F1R6,-0.0034,0.0461,0.0071,2042552.5142212852,2049380.8298978927,2016902.8872707752,2034629.1513147468,2004320.736417629,2027813.3570725026,1991762.3365291585,2052168.2122049895
P05388,-0.0036,0.0454,0.0071,172963984.20773742,172229239.48168293,177380733.92373636,168364608.023305,166871272.50617963,175204944.5912022,172963984.20773742,170051661.36417758
Q15527,-0.0091,0.0477,0.0071,935031.3167243673,980283.5242066056,944009.5113867795,1161364.1622377022,979144.3169224476,978545.7518574808,966444.2791938521,1047416.6697100885
Q16850,0.0054,0.048,0.0071,5509726.28897647,5636141.494217388,5605992.408371764,5435482.438834674,5120736.560606534,5629732.8794224085,5732145.064707778,5655877.1760062305
Q8WTT2,-0.0047,0.0447,0.007,873335.566850892,868405.0620030673,859744.6931178861,867592.9294000737,871048.1650376194,893951.5578065425,835414.0376091787,837078.072151581
Q8TD16,-0.0038,0.0445,0.007,31022271.911226254,30299332.596263167,31996932.79164088,31935556.169313937,31883966.012539636,30536677.404920917,30323041.45800278,31436661.30170256
P56378,-0.0181,0.0443,0.007,4584844.775215591,4772308.345804044,3166815.835581941,3484515.012895204,3859696.1852277154,4287667.228492015,4098780.041398731,3478467.474174365
Q9H3Q1,0.0049,0.0443,0.007,5001543.134447904,4810116.481628633,5102611.74030203,4985383.88926925,5250709.75891676,4953731.727657185,4953731.727657185,4689494.414241916
O43156,-0.0047,0.0444,0.007,2968377.590457827,3242099.4389761123,3111955.004519801,3039613.584819133,2962396.9323632065,3039613.584819133,3132098.731529403,3114349.0776921706
P53814,-0.0056,0.0446,0.007,1513307.3233518777,1576790.1734756287,1612013.3376886258,1658938.0824008952,1682604.1651552722,1519490.337438994,1560561.8323898115,1535483.7779913289
Q9P0I2,0.0054,0.0444,0.007,3399355.419441203,3388994.841090321,3443754.0746360933,3163235.595358295,3135648.7291309107,3473814.099770036,3370932.807914485,3384999.6407236373
Q13418,0.0051,0.045,0.007,3885861.4445657805,4007439.5288483854,3773832.6039558663,3600873.1072911303,3719121.269391772,3746239.4104980044,3899916.379713253,3867505.921778104
Q99574,-0.0046,0.0439,0.007,4938253.339382529,4794955.714128977,5064317.273277771,5105508.650167954,5166757.814166115,5001543.134447904,4798709.604992542,4754624.707636311
Q01650,-0.0058,0.045,0.007,12524839.671168158,12698542.653400684,13630628.691981245,13840916.971313216,13329775.897467433,12352679.034845924,12645282.045263853,13836822.65852182
Q96RL1,-0.0049,0.045,0.007,15768891.048599198,15295981.311803563,16396868.645811073,17070267.848594565,16633860.013212204,15658245.36425007,15768891.048599198,15863631.999428278
Q8N999,-0.0042,0.0439,0.007,12062040.26103199,11526725.051610664,12164475.663275557,11900763.024822699,11849643.82784748,12106055.127446875,12062040.26103199,11212559.22713622
P05091,-0.003,0.0442,0.007,13630628.691981245,13832729.556878269,14020239.417082045,14145574.648064353,13816122.94210012,13988755.751596345,13765561.088149946,13613300.876155293
Q9NRG4,0.0047,0.044,0.007,1605571.2523425615,1730767.9620951037,1667572.644204652,1720823.0692381915,1625739.8883857264,1703878.6027503477,1723697.4516787198,1653220.8234533186
Q9NX40,0.005,0.0453,0.007,11414596.530362856,11212559.22713622,11483550.104875822,11317065.092310121,10760545.420937156,11344152.608100047,11069612.541399483,12138748.144896442
Q96T60,0.0058,0.0439,0.007,1636904.64281839,1649659.644902325,1535483.7779913289,1524997.0381506374,1484929.5235275675,1651720.3311310557,1604645.2551465672,1594366.0891411167
Q9H857,0.0069,0.0445,0.007,8349874.539773977,9084151.399458794,9844246.20886616,9892091.611259218,9541761.5305598,8822862.556578616,8942121.079865811,9812903.281754991
O75164,-0.0054,0.0393,0.0069,803557.6968015655,787817.7300531551,887094.8234849125,859744.6931178861,800385.9850686034,820848.5342353913,824491.297189313,859744.6931178861
Q8N983,0.0059,0.0375,0.0069,3061838.4413171858,3087046.492143819,2654196.2938656136,2676730.44169077,2788566.4512772406,2889741.455034788,2858707.6153682354,2924537.2820086656
P49642,-0.0049,0.0388,0.0069,8128985.082734467,8501210.366280172,8029320.551228643,7682916.428273724,7570711.2835327275,7840222.136349006,8279064.914937545,8353687.705034841
Q9NPI1,-0.0056,0.0383,0.0069,372907.3661981745,403945.02028822777,383959.9396333776,357671.6585579517,378154.13791724393,374585.9909429509,370316.1414661715,380587.71288629505
Q9BTT0,0.0046,0.0391,0.0069,42778144.75968128,41727456.849485256,40149635.37611581,38359890.33151031,40040087.74632339,42408548.515894,40697275.50068634,39436788.05946769
Q02978,0.0058,0.0432,0.0069,6036346.284361127,6177696.736317221,5960844.550938198,5899317.965677478,5446957.61368853,6137015.046718034,6041387.438789178,6403402.163031995
Q9H7C9,0.0065,0.0424,0.0069,13788907.496607352,12807027.140710032,11918490.405416816,12176883.774830721,13360617.389483357,12955061.603466108,12656120.80508757,11657516.5333291
O00178,-0.0045,0.0399,0.0069,6262449.352948485,6373936.209557074,6367347.494563314,5822607.541205141,5899317.965677478,6188473.004262652,6331642.855431709,6183208.654569955
P48960,-0.0085,0.0414,0.0069,871048.1650376194,867592.9294000737,1054794.790232485,1045431.4823357923,1001638.8952743632,874712.3150055722,957204.2387783616,958848.6336187642
O43598,-0.0039,0.0392,0.0069,39475914.16637445,39419554.880602196,38284369.1770208,39153805.24780168,40353358.380115144,39436788.05946769,38494548.668518215,36713242.94358978
P53992,-0.0044,0.0369,0.0069,24783176.566843987,24897491.71058804,26269930.720706765,24504919.64208515,23019494.06992427,25126483.646400504,25743671.212499715,25659197.77436312
Q14126,-0.0048,0.0415,0.0069,11379574.592666723,12751884.398146024,11709621.03450086,11526725.051610664,11974881.800917627,11608817.276546825,11448682.273414563,11900763.024822699
Q9Y673,0.0066,0.0402,0.0069,3354993.8705466595,3464910.964035857,3109368.125030577,2967311.943951656,2974998.478687442,3420596.427815908,3313300.7893822296,3172241.795364828
Q6GQQ9,0.0041,0.0384,0.0069,1977544.8442517258,1943606.9018677452,2025780.793239212,2027389.55079406,2055860.552161521,1896513.3809459985,1946216.546002783,2050533.709223913
Q01831,-0.0035,0.0372,0.0069,2367638.26864963,2399303.762315509,2411879.7677820604,2424122.4583838745,2349825.541768055,2315354.3582699667,2357656.207899176,2499550.076700754
Q9NYK5,-0.0046,0.0412,0.0069,7066992.26861604,7027879.283527453,6893783.305277866,6614127.748315166,6446334.808117119,6835008.588647997,7027879.283527453,7043480.623097797
P52566,0.0039,0.042,0.0069,16026418.502244793,15343521.193893539,16011163.236889148,16730924.027650604,15848485.878769968,16386837.620129824,15983344.758532066,15682750.59610203
P09958,-0.0075,0.0425,0.0069,850555.0157503382,862694.3189791775,1018022.2692110424,946073.2608763286,913304.3505135714,907615.0334550657,960806.4496774704,853825.479522523
Q15427,0.004,0.0364,0.0069,20756028.699121356,19628223.523012437,19326413.923229218,19201734.363743577,19956853.63683641,20389830.69024944,19525066.821685337,18796562.873327937
Q86WA6,0.0042,0.0414,0.0069,2501843.629214025,2326020.385290948,2365597.3963156785,2451460.1682857494,2405170.4031819464,2464904.070497242,2335704.024752963,2410388.4761654558
Q96FS4,-0.0034,0.0368,0.0069,6039891.279455442,6078830.4112558765,6403402.163031995,6412297.008714486,6225231.596916079,6020236.239188735,6112335.95348779,6367347.494563314
Q9Y5J6,0.0137,0.0411,0.0069,207749.13146754328,190897.62124223946,143789.72389824883,215243.724435209,200520.8890271036,182661.31892452817,197574.29572889052,179912.15326947422
Q9BY42,-0.0034,0.0381,0.0069,6910718.484701551,6686682.752188527,6956730.298046241,7219183.77628529,7081238.365960633,6812331.829969442,6805879.747506964,6842327.556947355
O43765,-0.0032,0.0397,0.0069,43383877.017454624,43333508.6971311,43101085.552879445,44345047.927712634,43779323.02486817,43288240.321018465,44121756.487931326,41551412.64226254
P13639,0.0023,0.0372,0.0069,2605775394.9148006,2652113072.746938,2652113072.746938,2652113072.746938,2605775394.9148006,2652113072.746938,2652113072.746938,2605775394.9148006
P78560,-0.006,0.0391,0.0069,996090.8458890114,984562.1617033824,922155.8116379845,868405.0620030673,900570.871721747,976460.3649691263,944009.5113867795,912664.6769772858
Q13813,-0.0047,0.0418,0.0069,40902092.90417063,41090121.76629811,45255581.84265013,44490265.12456419,44271394.14211999,41551412.64226254,41858692.42973253,42452180.7350482
O43678,-0.0145,0.0404,0.0069,5283999.612099107,4644690.806410949,3670509.7914492292,3796576.24287923,4627626.829673706,3937755.077850141,4464386.0301214885,4098780.041398731
Q9BVK2,-0.0088,0.0367,0.0069,771878.1480701375,783324.9470657535,703517.2486753432,623561.5388165329,624918.4720562842,746729.9962988464,781241.6448599896,695309.0057029697
O43542,0.0041,0.0369,0.0069,836606.6267312611,805371.8771457915,865577.8045601888,862694.3189791775,843730.0737665107,865577.8045601888,814889.5870676022,835414.0376091787
P07237,-0.0032,0.0408,0.0069,992865559.6933424,992865559.6933424,1003925787.5796105,1037651720.5884242,1029543905.6146472,992865559.6933424,992865559.6933424,979037004.9990187
Q8WUJ0,0.0083,0.0422,0.0069,184536.04032588407,176773.6149450697,174080.48673885394,196003.05561042874,182661.31892452817,172116.1071580307,182661.31892452817,193819.29570087275
Q9Y3L3,-0.0028,0.0373,0.0069,13569322.173315799,13317350.31935668,13709077.899639368,14032667.069619296,13676559.849733293,13726357.412714964,13433962.117702167,13360617.389483357
P09382,-0.0036,0.0402,0.0069,55002230.13765969,54609402.26932157,52373648.6882869,54470921.95017743,55281202.40845085,53840103.218612924,53663443.97295013,51865039.22651726
P00491,-0.0038,0.0399,0.0069,139152314.10429096,135380384.6357235,146828101.31733102,145438865.4996151,143498513.3796056,141343397.30551305,140768882.98206505,136304212.63084567
Q96PU5,0.0046,0.0402,0.0069,1531306.8980752458,1651720.3311310557,1574002.2473047427,1598947.9551494743,1513307.3233518777,1574002.2473047427,1608926.3987581406,1641911.4699313198
P49754,-0.0077,0.0419,0.0069,745794.2921026096,768740.0410884717,678877.0127840303,678183.7825695238,644585.7592897733,759162.4555803444,722917.2948835747,713193.6439397387
P20020,-0.0051,0.0412,0.0069,15718671.017978154,17026699.37553622,17681260.713538468,16905821.070701867,15896092.64283606,16250557.983889533,16981673.68864938,17559608.20963024
Q9ULV3,-0.0051,0.0415,0.0069,11335005.458213177,11317065.092310121,12138748.144896442,12716826.381952243,12316704.248934519,11575765.455025539,11430327.307993593,11731232.604594361
Q58WW2,-0.0041,0.042,0.0069,7970726.359421771,7807880.327495023,8339619.842825329,8293408.357590518,8197408.485353439,8113301.100728907,8141450.326965435,7673280.534500007
P36508,0.0077,0.0379,0.0069,191477.16695039472,182661.31892452817,168360.93017773874,191477.16695039472,191477.16695039472,185479.11981284592,184536.04032588407,172116.1071580307
P53621,-0.0047,0.0383,0.0069,70580356.92210358,74320485.99475193,70452351.7624625,67282911.95792513,65031374.00213793,71111003.52147996,71951704.58438367,71951704.58438367
Q9BVS5,-0.0051,0.0422,0.0069,3753884.2888489733,3630002.1952053546,3744272.4629640556,3800067.0140980897,3941780.170071281,3783829.102961528,3587951.106716754,3473814.099770036
Q9NSP4,0.0075,0.0398,0.0069,1043605.2454524399,1025141.5230225144,1100887.0449382134,1260267.5899857085,1167599.5263245108,1027167.9626736606,1113597.757184348,1117526.444315287
Q02447,0.005,0.0411,0.0069,6090806.537074774,6086722.78404796,6030483.685619527,5947226.495482673,6002512.075035533,6451127.59005603,6063774.950556929,5578657.9655635655
Q15067,-0.0038,0.042,0.0069,20956824.32424061,20521905.948105633,22119244.28145244,22033927.96661609,21658570.948284578,21349951.104328636,20827778.885325234,21055349.10059788
P36956,-0.0112,0.0392,0.0069,158746.20306933066,152551.85845320573,152551.85845320573,190897.62124223946,144574.3289277158,179912.15326947422,164356.06504817362,156951.58361719243
Q9H8W4,0.0033,0.0365,0.0069,3465586.818393352,3411076.5712385974,3270136.3041996346,3453678.28649993,3423377.52804643,3406389.105197332,3392836.17567115,3328865.2459447924
Q8WWM7,0.0033,0.0363,0.0069,112254573.9781606,111363250.05406317,114916815.61072949,120908843.5862179,116025312.31221165,113738099.33631675,112683997.58675203,115284754.52749686
Q9NYL9,0.0024,0.0375,0.0069,32985232.999470215,33190770.1514557,32747044.95354233,33248228.302052207,33389020.83917226,32434962.836272024,32920163.60903173,32865216.20242669
Q15386,-0.0051,0.0364,0.0069,1133154.5563851583,1222708.3150222185,1117526.444315287,1168223.0621019225,1080342.2899323648,1134889.2610253934,1159960.7190264037,1222708.3150222185
Q15424,0.0048,0.0433,0.0069,88069352.91425523,93145322.04482384,90229370.19946738,93699400.39675549,88069352.91425523,88830792.71884258,89956802.13357098,97314686.9223916
P09132,0.0049,0.0389,0.0069,1850227.856970057,1840850.5306819999,1680658.4691716067,1804162.829420804,1700189.8832547045,1821112.4526736261,1831973.190251279,1805355.0226705268
P62701,0.0064,0.0367,0.0069,58625692.36257583,64608774.30045734,56130415.384752974,54651739.49582274,52175867.2573954,60045856.10257294,59606285.68472468,61857192.079217575
Q8TBB5,0.0036,0.0386,0.0069,13862640.916933622,13651081.720786562,14384971.231039265,14489802.852433512,14428563.027446395,14334121.573764628,13832729.556878269,13593095.43623669
P67936,0.0057,0.0397,0.0069,38970943.3842118,40040087.74632339,42280396.78134276,45937934.98656365,44187343.66862236,40768420.85421233,40472830.9828908,41438965.7403698
Q13310,-0.0037,0.0421,0.0069,120633896.4018268,120096954.01990254,114328875.23896217,116025312.31221165,114585962.1174811,116681831.02015504,115748075.85040937,120096954.01990254
