Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA52,V_log2.i._TMT_3_iTSA52,V_log2.i._TMT_5_iTSA52,V_log2.i._TMT_7_iTSA52,D_log2.i._TMT_2_iTSA52,D_log2.i._TMT_4_iTSA52,D_log2.i._TMT_6_iTSA52,D_log2.i._TMT_8_iTSA52
P51114,-0.0489,0.779,0.2039,9312018.47581809,9424639.862422379,8976212.315965958,8670353.11381301,8486890.012417817,8916890.004058748,8833976.65997861,8921635.275709184
Q9NRA8,-0.0669,0.7786,0.2039,3256383.2895645685,3109368.125030577,3450361.565421226,3488156.405705485,3366789.1208934356,3127753.116595278,3076650.423947755,3124254.3295461894
Q08257,-0.0513,0.7785,0.2039,49366909.30954089,50450752.770210266,53102979.713794455,53251613.38096859,50286083.89709648,50057754.846676305,50936886.06674809,47645235.606714815
Q9NUU7,-0.0455,0.7782,0.2038,59324320.2896667,60399202.71741851,62366131.18976766,62156324.52757392,57384205.63622881,57732032.43498563,60310384.2019722,61270233.77062238
P62841,0.1025,0.7777,0.2036,15896092.64283606,16250557.983889533,14235250.74813338,13630628.691981245,15244499.39988937,15416898.56443464,16026418.502244793,17681260.713538468
O75362,0.0467,0.7744,0.2035,940645.8957816908,961435.7006571861,989514.4296192524,1005035.499513784,977846.3193156888,987919.7780614678,1045431.4823357923,1013689.899089409
Q9ULF5,0.0428,0.7749,0.2035,1508306.6934698916,1542661.338326854,1638726.0671282227,1572439.0210329227,1600985.9762227347,1596789.7452456036,1618701.0665416836,1631453.1976483918
Q06830,-0.0359,0.7752,0.2035,1750075152.23116,1700812548.3460033,1700812548.3460033,1649946477.80712,1649946477.80712,1649946477.80712,1649946477.80712,1683361813.789496
Q99447,-0.047,0.7764,0.2035,17468721.15575324,17570215.25120861,18557743.0745054,19031282.751375876,17444759.471635435,17544818.531096477,17693639.763958253,17570215.25120861
O43676,-0.0493,0.7747,0.2035,2439020.916935192,2435008.4363273787,2384184.8597213905,2520160.7339763925,2418466.2260983973,2234127.0802867827,2363647.3097457513,2436867.502128146
P12318,0.0896,0.7754,0.2035,5513469.695620335,5732145.064707778,5198141.623742766,4810116.481628633,5215466.281585423,5916955.03125883,5766554.862094557,5692822.235296646
Q75N03,-0.0372,0.7743,0.2035,3670509.7914492292,3617936.359243665,3800067.0140980897,3767355.5614687195,3606112.3135397527,3680532.3978401464,3648205.5334386355,3541726.57955326
O14530,-0.0349,0.7764,0.2035,19782418.11874498,19911603.75497965,19854096.30910551,20370876.48795537,19823847.51997876,19854096.30910551,19065756.62766594,19271694.59219324
P68402,0.0594,0.7745,0.2035,19956853.63683641,19885822.788365785,18434865.693720892,17908179.02483777,20117012.69268797,19599428.88580622,19368533.52984037,20229720.057882223
Q99536,0.0493,0.7768,0.2035,46827376.90121585,47131717.53434344,50547726.87563986,50936886.06674809,51027715.91634458,50286083.89709648,50162966.434119016,50619632.58103954
P27144,0.0932,0.7767,0.2035,10951128.65480901,10504580.548023958,9076298.775166733,9114204.053200599,10705190.848199228,10374436.70794735,10642357.080027994,10424417.683449024
Q16222,-0.0424,0.7763,0.2035,78206504.12702921,77383469.07618701,78923473.16609992,76022213.6982196,73303214.0342186,74425690.72473414,74983262.89262083,78923473.16609992
O14508,-0.059,0.7735,0.2029,5643642.5713901045,5425866.233782203,5866139.911071504,5889398.644487246,5756287.303844693,5473751.654226154,5503969.367401812,5179780.598969307
P43362,-0.0446,0.7731,0.2028,3498209.0126839248,3581847.24162233,3366789.1208934356,3331101.561179477,3337427.739797011,3429648.3016173495,3270136.3041996346,3317702.352246124
Q8WVT3,-0.0417,0.7721,0.2026,3874139.4120332147,3885861.4445657805,4115804.570125312,4129002.2671712376,3882227.924288092,3899916.379713253,3877514.1625161935,3882227.924288092
Q9NTJ4,-0.1823,0.7716,0.2026,8555936.94746626,8789910.712872572,10398915.700676236,10050507.038211916,8438756.181870418,9084151.399458794,9564903.54862565,6467192.800060963
P78330,-0.0438,0.7721,0.2026,45255581.84265013,44907499.57204528,44907499.57204528,47256722.54675127,45834975.9276032,44435703.096068725,43910811.7783936,42708655.328251146
A5D8V6,0.0418,0.7712,0.2026,3094129.8449897636,2986705.791861,3141125.6422609542,2974998.478687442,3247349.2655927544,3105665.1772024534,3114349.0776921706,3087046.492143819
Q9C004,0.0471,0.7705,0.2026,1025141.5230225144,1090053.640711426,1003186.4803988162,997054.1472770815,1069104.4214376884,1042166.6479917831,1071767.8616114727,1066492.0273086028
Q9BWG4,-0.064,0.7706,0.2026,765873.237193784,689462.313693508,786182.2575344389,734661.7309446847,726667.7679260215,722917.2948835747,713193.6439397387,681676.4087536088
Q9H0H5,-0.0511,0.7709,0.2026,1881590.8253015522,1953671.7097158204,2043981.1204729753,2058796.6650102872,1962292.2748487468,1870795.340568764,1883457.1230585105,1941807.2087288185
Q7Z2E3,-0.1082,0.7719,0.2026,956412.1750533226,1043142.766009903,1053990.2130155647,1154640.7445597313,989514.4296192524,871645.0277070396,969933.6062691847,1075138.0454332137
O15014,-0.0433,0.7726,0.2026,23711428.580270506,23405334.048196156,24022137.78998606,25020596.352709822,24155316.159883644,22975076.189962402,23003693.902023893,23173668.791391023
P51956,-0.0494,0.7698,0.2024,3959131.4569876986,3811947.4492447497,4016069.624278595,4074083.927676583,3947536.157907725,3941780.170071281,3773832.6039558663,3667220.1611289503
Q9BQA1,-0.0589,0.7701,0.2024,12146780.475717062,12385119.217053356,13163446.826209543,12791729.761128593,12275282.066714846,12146780.475717062,12687544.7937886,11371886.979033552
O00165,-0.0339,0.7691,0.2021,3600873.1072911303,3603039.7063071476,3713566.107050091,3614566.8696819306,3457765.211422353,3568597.1804968077,3571740.9047247726,3596760.3846828383
P23284,-0.036,0.7689,0.2021,190861343.21154836,188022204.9861244,184739992.02038503,181119405.88448927,178063792.78608164,184124778.65117827,182053831.1060926,182053831.1060926
Q9NNW5,-0.0618,0.7683,0.202,1306308.476711759,1390549.5085103202,1428887.6157555948,1499614.2299838995,1361655.1642176574,1304697.0663309535,1346062.4275576698,1371482.2785373465
Q99766,0.0424,0.7686,0.202,1584793.502756741,1466245.6017720434,1480366.3122915216,1483589.8375632984,1553500.7744550398,1559615.2543356635,1536299.2181161444,1542004.9865657727
Q8NBJ7,0.0528,0.7668,0.2008,4641697.968270616,4501203.250544077,4540789.160738672,4193791.624962257,4464386.0301214885,4713354.557215779,4683686.654566192,4673319.557099267
Q9NX02,-0.0573,0.7658,0.2008,7227609.548271987,7376808.942378513,7951683.257859615,7749670.120768296,7561245.152552455,6956730.298046241,7376808.942378513,7222867.578074478
Q7Z3U7,0.055,0.7659,0.2008,1643929.3750892268,1722536.245891626,1700189.8832547045,1590006.0011508632,1709932.6483642994,1641387.646857225,1782610.4404764103,1782097.0808043766
P78318,0.0419,0.7666,0.2008,22428054.113364372,21597435.952235907,21636297.13902766,21794449.232205626,23537663.49186671,21917463.05026511,22199336.472964503,22401765.486691654
Q9C0B5,0.0312,0.7662,0.2008,7458825.011535031,7546547.393248454,7577618.827728729,7497145.704321789,7682916.428273724,7570711.2835327275,7624174.452673067,7863050.39443274
O43172,-0.0308,0.764,0.2007,27467994.613022484,27415628.08504166,27997082.308289852,28271126.8018538,27087389.364287667,27499195.750769816,27240980.382295523,26968924.99795916
Q8WW33,0.0563,0.762,0.2007,30657468.55339199,29771811.68795863,29539872.840563938,29680402.27600671,33058088.47531798,29434588.236639168,31883966.012539636,30151963.125998992
Q9UNZ2,0.0325,0.7648,0.2007,95487823.6166458,95017233.078916,96864461.62980217,99273047.13202378,99182301.68413007,97987358.42285901,99182301.68413007,99036893.75290407
Q6P9B6,0.0443,0.7639,0.2007,3877514.1625161935,3939516.3450123006,3840861.5503212386,3774910.1622967967,3831107.42738017,3956313.9395029987,3961850.058866345,4170544.03348362
Q9UFG5,0.1285,0.764,0.2007,4829756.15046162,4265976.299976504,3850229.2539867735,4504971.192714879,5264008.4709006,4129002.2671712376,4792213.423532451,4899235.564108472
Q92610,-0.0364,0.7635,0.2007,6842327.556947355,6938571.724277821,7112211.172673514,7231296.246101368,6855937.466931978,6793910.112744568,6793910.112744568,6974296.411073125
Q86X29,0.0376,0.762,0.2007,7918223.506488268,8077606.128814377,8349874.539773977,8171850.668580715,8269205.71690092,8152615.813973707,8438756.181870418,8514981.589873897
O15127,0.0612,0.763,0.2007,3064250.4350896636,2922208.9503982575,2951094.993303621,2934267.137162541,2915059.2974270987,3045510.736998563,3094129.8449897636,3344534.0907095033
Q9BZG8,0.0506,0.764,0.2007,7992865.988633478,7624174.452673067,8190128.6322488235,8409429.850003026,8462195.115052896,8415746.339015082,8425806.477331545,8048630.643388999
P34932,-0.039,0.7642,0.2007,348613988.65279925,348613988.65279925,345650513.974381,345650513.974381,329808394.78258103,329808394.78258103,340123175.11286604,352210585.9042145
Q8NBZ7,0.0686,0.7637,0.2007,316532.30461558327,341430.3900556046,358758.2741702502,319715.4262094018,365192.73762264964,348690.5451578011,332917.28008421673,353614.5715119219
P48643,-0.0309,0.7629,0.2007,1319217183.627175,1292816069.7042685,1292816069.7042685,1292816069.7042685,1272924212.1043327,1292816069.7042685,1272924212.1043327,1249188779.5883355
Q7L099,-0.0402,0.7622,0.2007,8537218.54059528,8443327.653271753,8789910.712872572,8983414.179191874,8607743.635140827,8501210.366280172,8239958.495922785,8443327.653271753
Q08945,-0.047,0.7626,0.2007,46930099.391150355,46930099.391150355,48441954.190884955,51368501.04330743,47044818.89184457,46668752.259885415,46495770.13689256,47131717.53434344
P17987,-0.0385,0.7612,0.2004,659521961.5691086,645662640.0512671,692663028.56385,663812934.5322082,648547499.4254643,640828291.1309756,655821305.4735618,645662640.0512671
Q765P7,0.039,0.7612,0.2004,4387585.443662046,4275409.417902576,4513663.947687275,4360039.969778556,4630902.429769944,4537069.849844664,4450718.669323681,4398595.942865763
Q8TEX9,-0.0416,0.7605,0.2,32018203.353897594,32888488.0428384,33513264.9795421,34015077.96297822,32747044.95354233,32208877.344555933,32654489.082685366,31058315.735396147
Q8IU60,-0.0695,0.7596,0.1999,3010901.7479822175,3277303.723751105,3014969.172006759,2890272.7237757873,2752784.9709040252,2945140.316673193,2838638.9856370282,3081642.9603943084
Q6AI08,0.0922,0.7599,0.1999,1092055.2218151353,1156720.7121110782,1098889.316299913,1020724.0574075131,1029229.5478407633,1206094.7849653575,1182942.968392134,1245937.6558426712
Q4LE39,-0.0405,0.7598,0.1999,10482505.780794056,10728474.829935769,11186214.390287885,11229347.856648002,10694399.645402277,10605697.064381056,10591772.98272765,10511604.831635237
Q96PU8,0.1097,0.758,0.1985,23568486.172069248,21893501.770638775,19440146.42890698,18576737.140346438,22541115.55252703,20932784.10371212,22846298.07884974,23432335.029961534
Q96K76,-0.0343,0.757,0.1983,21893501.770638775,22648892.022986192,22820915.766149472,22460570.858597722,21445185.358880874,21962540.639324445,21977865.162980787,22323541.7365696
P62942,0.0687,0.7575,0.1983,78923473.16609992,76679243.07553232,73362207.74893893,71852238.1202911,85170824.49191953,74654094.85137428,79161819.1325715,76679243.07553232
Q6QNY1,0.1956,0.7572,0.1983,7212591.972739346,6384474.290734429,4707461.874841022,5215466.281585423,7458825.011535031,5846492.888580106,6712806.844635225,6642094.922791091
Q13564,-0.0356,0.7566,0.1982,11544576.222928556,11834174.928772371,12072196.263780499,11483550.104875822,11344152.608100047,11492615.902879182,11638262.212477043,11310182.86914158
Q9NVH0,0.0589,0.7561,0.198,290790.16092676285,274067.1880134909,308755.8722253573,305594.01644413784,310235.05773076747,300373.1245467791,301795.42494654213,314780.5488567944
Q8IY57,-0.1096,0.7558,0.1979,738287.353240164,697922.1626445549,713863.206587326,759162.4555803444,681676.4087536088,705526.7363152325,746729.9962988464,573830.9907795389
O94832,-0.0449,0.755,0.1977,7267480.728336145,7719295.898386979,7340138.272823543,7342721.34342463,7038729.874113584,6974296.411073125,7425542.703725379,7323952.937644647
Q8WVV9,-0.0834,0.7549,0.1977,13580228.983014984,14652227.492233545,13613300.876155293,13270282.522254266,11608817.276546825,13285145.015256228,13874703.635971433,13329775.897467433
Q01105,0.0274,0.7548,0.1977,927352229.191615,934269020.8916264,927352229.191615,934269020.8916264,951984286.7424883,951984286.7424883,938782664.1794692,951984286.7424883
