Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA52,V_log2.i._TMT_3_iTSA52,V_log2.i._TMT_5_iTSA52,D_log2.i._TMT_2_iTSA52,D_log2.i._TMT_4_iTSA52,D_log2.i._TMT_6_iTSA52
P56181,0.0443,0.6789,0.0823,42582377.907940984,42362150.98982689,42075329.67984463,43333508.6971311,44756617.42655639,42100396.65126345
P19623,-0.0484,0.6781,0.0817,17106125.929593723,17729716.478005815,17204319.821665224,16058496.734012835,16920660.97451785,17038665.149956755
Q8WVM0,-0.0516,0.6661,0.0812,1684794.9074022768,1698959.7930894173,1689899.8749755216,1565378.6687563625,1648647.6301582635,1651720.3311310557
O14617,-0.0521,0.6746,0.0812,9335819.193415284,9502842.712471945,9838253.033191638,8747690.3971887,9406285.363542194,9335819.193415284
Q9Y4R8,-0.0491,0.6678,0.0812,3612091.5792255597,3850229.2539867735,3831107.42738017,3579143.6568544344,3606112.3135397527,3663025.186006888
Q7Z2K8,0.0488,0.6744,0.0812,12409768.870335225,12360933.97838046,13113175.985490732,13387001.521660872,12687544.7937886,12871444.825228624
Q92878,-0.0417,0.667,0.0812,106009727.33073351,109771782.68101336,112885836.08752312,106270811.67690785,105594886.34954712,105465831.22457145
A6NKD9,0.058,0.6691,0.0812,2037448.3410638408,2036460.2588359043,1987955.083673151,2180756.985020581,2100250.398297969,1991762.3365291585
Q14203,-0.0406,0.6699,0.0812,54400961.704894945,56984700.71946556,55977313.73219379,53750762.31716329,53663443.97295013,54317244.94810925
Q6ZUT1,0.1087,0.6697,0.0812,187393.64723832443,174080.48673885394,169884.92466131476,185479.11981284592,200520.8890271036,183553.0052734627
Q8IXQ4,0.0453,0.6675,0.0812,14474614.099875629,14279602.36176175,15039726.335190613,15343521.193893539,14986082.364860857,14583071.928145088
Q99623,-0.0739,0.674,0.0812,93441875.14465508,98330626.56351887,88830792.71884258,80898566.89587764,90952280.74695778,93145322.04482384
Q86UK7,-0.0557,0.6759,0.0812,8607743.635140827,9016481.62506439,8651266.496911885,7963813.747703298,8492719.203745078,8670353.11381301
P41208,0.0693,0.6726,0.0812,5182534.052135376,5074633.46090519,4566186.76868358,5173190.757011861,5307182.391840995,4982076.141830362
P20618,-0.056,0.6719,0.0812,134226451.95413855,133012065.74312258,147843947.2861004,130606983.65051092,131468905.63686685,134700520.06419677
Q8NI27,-0.0413,0.672,0.0812,37149432.07951064,38359890.33151031,38006137.81127132,36190204.64593666,36115324.56468699,37331205.98800842
P53384,-0.0471,0.6665,0.0812,6759126.5255890675,6726217.312806072,6656441.52204725,6256933.108901151,6678119.829047169,6442000.44632493
P51857,0.0842,0.6703,0.0812,1323748.0148359758,1298782.7609893829,1170429.9245694007,1238871.8836022236,1359006.8619881896,1399383.6110553553
Q9BT09,0.0469,0.6678,0.0812,14020239.417082045,13580228.983014984,13528698.511647047,14107784.620057896,14474614.099875629,13651081.720786562
Q8NB37,-0.0427,0.6697,0.0812,4725148.500689345,4549208.413970744,4643194.162298214,4495289.691024638,4507661.373062451,4426915.6682347795
