Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA52,V_log2.i._TMT_3_iTSA52,V_log2.i._TMT_5_iTSA52,V_log2.i._TMT_7_iTSA52,V_log2.i._TMT_9_iTSA52,D_log2.i._TMT_2_iTSA52,D_log2.i._TMT_4_iTSA52,D_log2.i._TMT_6_iTSA52,D_log2.i._TMT_8_iTSA52,D_log2.i._TMT_10_iTSA52
P00505,0.0084,0.1015,0.0034,269736519.556752,270590832.2450528,261707434.9208088,260670264.77648422,281703426.27710825,267536444.20053867,279621846.4712607,272509180.0403736,257620271.65866837,266625382.61969286
Q92542,0.0069,0.0927,0.0034,4950787.891456711,5203420.973386341,5057626.749390073,5291947.79924727,5041725.565713911,4985383.88926925,5097851.684780343,5021649.136148145,5140124.631910479,5261628.357053581
Q7L592,0.0174,0.0981,0.0034,1274911.647645309,1293517.1129368949,1418483.7965365718,1463508.6681803917,1211553.6072318833,1488737.3616675518,1191281.803978102,1371482.2785373465,1235419.4340899745,1412913.1920477403
Q9UPR3,0.0077,0.0923,0.0034,1539781.40217968,1593089.997703839,1557928.9829204688,1569926.1771577217,1613582.4196718743,1498787.3961438406,1599966.646729911,1543834.7221205635,1627174.1900055204,1597497.9398687407
O00488,-0.0122,0.1035,0.0034,1664918.238627111,1569454.528578737,1635642.5858191866,1551345.205419389,1704385.4145529277,1670611.3568694599,1700189.8832547045,1600985.9762227347,1555945.1900937066,1479803.7303248823
Q9UDX5,0.0146,0.1,0.0034,1608926.3987581406,1635642.5858191866,1488737.3616675518,1332501.3740601614,1537330.6037070162,1451271.7519725224,1612013.3376886258,1523354.9329783134,1482325.7574777845,1564688.6608760837
Q9NP77,-0.0056,0.0915,0.0034,10450545.104390148,10383039.931987777,10008254.669264447,10497063.922297895,10194135.507533528,10143757.389808083,10316238.740640318,10079616.683355179,10158191.423209568,10316238.740640318
P13984,-0.0094,0.1051,0.0034,47735687.44389833,46568691.18708179,44006851.468206964,45196627.83603902,47256722.54675127,46643985.20130625,47735687.44389833,44907499.57204528,44799104.549469985,43779323.02486817
Q15545,0.0083,0.0961,0.0034,17268875.428852323,16786262.7226042,17559608.20963024,17960108.75050612,18083926.20758692,18402317.269634046,17931906.173404988,17322486.18650737,17244028.305756506,16712875.164691227
Q8TBA6,-0.0085,0.1118,0.0034,3344534.0907095033,3451573.8933193856,3230699.196662472,3194078.346719764,3383041.325998607,3253362.4992541363,3272749.1361336885,3322477.5026514037,3270136.3041996346,3285542.082123127
Q9BUK6,-0.0102,0.104,0.0034,2293739.1770878257,2276658.9860500577,2169343.603986425,2156462.413695451,2406177.2312283865,2190891.456691299,2300628.4860610776,2183943.3294993807,2203233.545591571,2275033.0607296983
Q8N6T7,0.0107,0.0926,0.0034,505993.54678937356,449877.8059802253,463963.51368016074,470169.95022153965,470169.95022153965,458231.3313369005,491621.29054289724,478396.6428860767,470903.9602401048,463963.51368016074
Q13492,-0.0061,0.0926,0.0034,116473194.02402326,115284754.52749686,111707010.6311597,111060085.43799245,114916815.61072949,114328875.23896217,114328875.23896217,113149158.16300635,112254573.9781606,109467047.15059043
Q07864,0.0165,0.1128,0.0034,3740056.074852594,4038534.1268418347,4063360.4014268676,4227984.713749761,3473814.099770036,3760945.3182821283,3614566.8696819306,3921320.7138632666,4129002.2671712376,4218401.634048782
Q4KWH8,-0.0191,0.1142,0.0034,4655410.838187211,4419803.623761869,3936445.7630131408,4067813.342812034,4964466.403501864,4340927.118034496,4686515.715808373,4507661.373062451,3885861.4445657805,4200567.26815731
Q9UBV2,0.0096,0.1088,0.0034,4974325.106344775,5186122.271992168,5331063.884613632,5313510.953249813,5057626.749390073,4958274.556897442,5120736.560606534,5033627.510378067,5387784.662362337,5370424.729032414
Q9Y2W6,0.0093,0.1152,0.0034,2861657.7945699785,2998828.234756999,2871871.3258413114,2855323.99993311,2890272.7237757873,2776122.135483876,2953962.600738264,2926806.6880494743,3002846.295641872,2820952.3573719454
Q9NQT5,-0.0081,0.0901,0.0034,3461246.2623180877,3484515.012895204,3310087.698322873,3439777.148599133,3536237.3988359743,3294492.884191673,3610657.087465622,3388994.841090321,3305916.5110235233,3429648.3016173495
Q8N5I9,-0.0092,0.1128,0.0034,9138167.903476194,8952981.596248243,9558035.597338468,9142100.322314244,9544810.934181597,9531346.774858769,9205811.364199415,9054282.125231799,9262836.449473348,8700108.907631038
P42695,-0.0112,0.1009,0.0034,3829123.2047675806,4154280.2103200424,3848404.5909499805,3706270.451724381,3848404.5909499805,3498209.0126839248,3902760.0097904163,3850229.2539867735,3937755.077850141,3928148.664043129
Q96HA1,-0.0173,0.1094,0.0034,161939.18204057557,164356.06504817362,158746.20306933066,162743.3209195565,182661.31892452817,162743.3209195565,174080.48673885394,158746.20306933066,158746.20306933066,161139.01653102715
O43766,-0.0127,0.1065,0.0034,3934452.035476526,3824782.0779479286,4209736.7251393115,4482720.659348213,3984470.678997747,4278715.043524026,4083558.514573088,3933050.827705989,4003347.195272206,3831107.42738017
O60884,-0.0072,0.1137,0.0034,60629637.04142049,60925634.29101795,59728457.1452472,62366131.18976766,58762050.34585287,58935872.46440185,59129737.63764909,59866803.66901763,59866803.66901763,61231213.10173291
Q6IQ49,-0.0074,0.0936,0.0034,22801766.79240393,22975076.189962402,22923507.812458932,22908013.611356903,23475048.618206985,24294351.724367533,22820915.766149472,22292437.552312054,22292437.552312054,22080875.501815144
O15355,-0.0066,0.0906,0.0034,61528614.903422266,63950756.51520921,62882800.76175502,63762107.54099703,59971327.40616421,60925634.29101795,60457961.09267198,60856155.46790758,63607321.04934896,62882800.76175502
Q96JN0,-0.0168,0.1118,0.0034,840483.6737099309,830350.484593479,798557.9390339027,787027.7230529308,921395.7449761701,833856.902711783,889743.5107087649,836606.6267312611,740087.0413698531,803557.6968015655
O95140,0.0112,0.1168,0.0034,4429335.72223081,4917044.393829507,4895120.861438486,4721227.884387986,4701551.629155318,4531276.008166168,4624998.733857196,4772308.345804044,4792213.423532451,4977307.571224762
