Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA52,V_log2.i._TMT_3_iTSA52,V_log2.i._TMT_5_iTSA52,D_log2.i._TMT_2_iTSA52,D_log2.i._TMT_4_iTSA52,D_log2.i._TMT_6_iTSA52
Q9Y6D9,-0.0476,0.2675,0.0013,24723728.813421044,25525118.269616913,30299332.596263167,28714485.773345407,24420153.617709137,24312332.417658836
Q8NHY2,-0.022,0.1109,0.0013,839759.0600339867,882891.1462678665,810737.236030586,774302.073509924,882891.1462678665,823619.3389906944
Q96BD8,-0.0099,0.0669,0.0013,4501203.250544077,4504971.192714879,4450718.669323681,4198429.728636935,4492451.817712969,4596911.337816176
Q9HD47,0.0102,0.0502,0.0013,2036460.2588359043,1926617.6406480658,1996261.751811131,2169343.603986425,1795983.1698773808,2000650.20934769
Q9NX40,-0.0317,0.2801,0.0013,11414596.530362856,11212559.22713622,11483550.104875822,10760545.420937156,11344152.608100047,11069612.541399483
O75907,-0.0501,0.2662,0.0013,492643.1767476685,496326.238575154,508883.803816011,491621.29054289724,510358.1232524455,436358.952270316
P08236,0.0251,0.2209,0.0013,26089948.127902362,25725835.560397778,27331491.591468506,27218496.85059281,26968924.99795916,25871081.33683165
Q58FF8,0.0181,0.1503,0.0013,36190204.64593666,38524965.794130474,36355649.65315344,35551010.45749592,38997130.08861565,37278225.7230202
Q16658,-0.0006,0.0056,0.0013,419880061.26059514,457400626.21336883,440297764.9654526,419880061.26059514,440297764.9654526,449058434.67094463
Q96MY1,0.0394,0.2667,0.0013,1569926.1771577217,1627793.1706350483,1576499.192083063,1593089.997703839,1667572.644204652,1617276.430886492
Q7Z3U7,0.0276,0.1699,0.0013,1643929.3750892268,1722536.245891626,1700189.8832547045,1709932.6483642994,1641387.646857225,1782610.4404764103
P07437,-0.0776,1.0368,0.0013,160855507.2673956,174386173.83189997,164082707.28575578,146191844.49631238,161560485.98673648,162658514.21038532
P07437,-0.0776,1.0368,0.0013,160855507.2673956,174386173.83189997,164082707.28575578,146191844.49631238,161560485.98673648,162658514.21038532
P07437,-0.0776,1.0368,0.0013,160855507.2673956,174386173.83189997,164082707.28575578,146191844.49631238,161560485.98673648,162658514.21038532
Q96C86,0.0238,0.2091,0.0013,31130863.52841971,30346239.2205705,29653080.69232486,31464032.155366704,30981105.95093976,29666738.441756323
Q15024,0.0411,0.3908,0.0013,24241990.71860733,23864210.620892674,25232794.394699078,25871081.33683165,25058209.55630795,24082211.55163864
Q6GMV3,-0.08,0.3675,0.0013,15263524.737816244,13442303.345150476,10713562.258203978,13482550.950421056,11463290.590256162,12146780.475717062
Q9BVJ7,0.0399,0.2502,0.0013,1216820.5480301834,1246896.0272453926,1182142.6037958388,1229375.2540836798,1240143.8031614334,1256800.4921383227
Q92896,-0.0583,0.5977,0.0013,13953411.044956556,14730183.633271338,15177162.120959835,13806764.118383778,13765561.088149946,14300086.123534938
Q969Y2,-0.0065,0.0448,0.0013,5270187.720801656,5179780.598969307,5192720.632189699,5198141.623742766,5258442.500939094,5025974.671254346
O15164,0.0579,0.5572,0.0013,3163235.595358295,3197078.4172733855,3225882.74630402,3285542.082123127,3352817.323240473,3281788.0804652497
Q9Y5V0,0.085,0.8081,0.0013,9242225.18347565,8880107.06388995,8141450.326965435,9470932.509557258,9276740.984978188,8952981.596248243
P07437,-0.0776,1.0365,0.0013,160855507.2673956,174386173.83189997,164082707.28575578,146191844.49631238,161560485.98673648,162658514.21038532
P07437,-0.0776,1.0367,0.0013,160855507.2673956,174386173.83189997,164082707.28575578,146191844.49631238,161560485.98673648,162658514.21038532
P07437,-0.0776,1.0365,0.0013,160855507.2673956,174386173.83189997,164082707.28575578,146191844.49631238,161560485.98673648,162658514.21038532
P07437,-0.0776,1.0365,0.0013,160855507.2673956,174386173.83189997,164082707.28575578,146191844.49631238,161560485.98673648,162658514.21038532
P09001,-0.0094,0.0547,0.0013,3831107.42738017,3882227.924288092,3737126.5299762264,3433576.056118123,3943297.808198897,3934452.035476526
P07437,-0.0776,1.0365,0.0013,160855507.2673956,174386173.83189997,164082707.28575578,146191844.49631238,161560485.98673648,162658514.21038532
P07437,-0.0776,1.0367,0.0013,160855507.2673956,174386173.83189997,164082707.28575578,146191844.49631238,161560485.98673648,162658514.21038532
