Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA56,V_log2.i._TMT_3_iTSA56,V_log2.i._TMT_5_iTSA56,V_log2.i._TMT_7_iTSA56,V_log2.i._TMT_9_iTSA56,D_log2.i._TMT_2_iTSA56,D_log2.i._TMT_4_iTSA56,D_log2.i._TMT_6_iTSA56,D_log2.i._TMT_8_iTSA56,D_log2.i._TMT_10_iTSA56
P41208,0.0364,0.1462,0.0001,10803343.411495605,8167765.750519603,11135909.917010114,11528767.963562507,11963716.805604761,11064983.699267788,12129708.631355874,8975840.942242313,10927076.204763703,11297816.98689922
Q63HN8,0.1159,0.436,0.0001,11840342.927256476,11630814.695440626,8570906.986865899,6211707.30064633,10031582.18135496,8874182.732468575,11673938.360516142,10104061.852474324,10892803.160103528,10144303.722298108
Q8NCE2,-0.0785,0.538,0.0001,2392607.8053709813,2507842.4048257475,2364370.5413239817,2452195.770183704,2276474.0607379368,1907140.9746262257,2192548.8110859264,2349797.60844371,2406200.74781629,2380506.32258925
Q969V3,-0.0016,0.0093,0.0001,10065829.707334379,10009614.451557482,9963826.020081688,8627664.885735432,9321579.479670662,9481103.154071324,9071196.087747728,9901264.676708544,9642687.477622285,9300048.569249878
Q99543,-0.0431,0.3612,0.0001,19334248.448735982,18880259.654549398,20321165.739215203,19297512.546640377,18276753.355285384,18055214.5733282,17900325.922539573,18524608.537546568,19164673.313932076,18618524.507016655
Q07817,-0.005,0.0264,0.0001,4300084.173638787,3929361.0350540304,4131119.3492405936,4204145.385521104,3663834.865987915,3896446.8593806247,3804696.805647805,3957079.4190918365,4241355.733776048,4041410.2820642595
P42025,-0.0195,0.1157,0.0001,9699086.67446842,10625433.822448127,9602642.584193643,11353250.007056447,9312944.627786525,9280998.65465205,9766186.107433148,9775023.97353025,10306332.811559148,10227396.984792843
Q8TBM8,0.0019,0.0086,0.0001,1042337.0629323435,1033422.0276970128,997371.4772831819,1018623.6514244603,1126196.9514187586,1006501.5965211228,1130955.4187296429,997371.4772831819,981781.8496056186,1049408.8564178795
O14519,0.1746,0.4551,0.0001,2821837.8720935257,1892064.9328555304,2190919.49041561,2312744.5278186505,3181796.772015901,3550915.1339070387,3914904.000063423,1696987.2325642973,2157484.897757561,2504912.1209279434
Q7Z2K6,-0.006,0.0289,0.0001,995844.8388474919,1020340.3043024559,994005.6523214731,989142.9929157395,1031881.5842009789,980536.0381850677,983017.2175277582,1068665.8710379465,897291.1771444362,1025582.1380097648
