Accession,T37.0,T47.4,T51.0,T53.9,T56.8,T59.9,T62.5,T65.6,T69.0,RSD
PLP2,0.9999,1.033,0.946,1.2624,1.8365,1.0606,0.8307,0.7285,0.7506,0.0
PLXDC2,0.9999,0.7225,0.5832,0.5653,0.4302,1.0769,0.4478,0.2774,0.2765,0.0
PLXNA1,0.9999,0.8348,0.6422,0.3803,0.1525,0.045,0.0483,0.0427,0.0363,0.0
PLXNA3,0.9999,0.8145,0.4247,0.2576,0.1715,0.1163,0.0779,0.0474,0.0524,0.0
PLXNB1,0.9999,0.8531,0.6353,0.2487,0.1012,0.1091,0.1079,0.0684,0.0665,0.0
PLXNB2,0.9999,0.8522,0.4818,0.1006,0.0508,0.0793,0.0697,0.0519,0.0609,0.0
PLXND1,0.9999,0.5736,0.1484,0.0389,0.0277,0.055,0.0226,0.0124,0.0093,0.0
PODXL2,0.9999,0.9115,0.7953,0.8246,0.8875,1.0279,0.8704,0.6767,0.6408,0.0
PPIL1,0.9999,0.4076,0.1833,0.0704,0.0444,0.0504,0.0492,0.0432,0.0411,0.0
PPME1,0.9999,0.9387,0.8052,0.44,0.0545,0.0824,0.0897,0.0566,0.0646,0.0
PPP2CA,0.9999,0.8894,0.7288,0.5474,0.3024,0.3948,0.1214,0.0845,0.0636,0.0
PRAME,0.9999,0.1759,0.1616,0.0378,0.0572,0.0663,0.0665,0.1513,0.1633,0.0
PRCP,0.9999,0.9519,0.7933,0.6386,0.6322,0.6832,1.4789,1.6023,1.3258,0.0
PRKAA1,0.9999,0.857,0.6903,0.412,0.3196,0.1463,0.1632,0.1537,0.1153,0.0
PRKAR1A,0.9999,0.5994,0.2829,0.0443,0.0015,0.1033,0.0622,0.0159,0.0071,0.0
PRKAR2A,0.9999,0.798,0.5346,0.2743,0.1274,0.0769,0.0846,0.0638,0.0653,0.0
PRKCB,0.9999,0.8533,0.3723,0.0325,0.0375,0.0237,0.0376,0.0398,0.0235,0.0
PRNP,0.9999,0.8477,0.7688,0.779,0.6414,0.2,0.1878,0.1603,0.2821,0.0
PROCR,0.9999,0.8881,0.7623,0.7401,0.5846,0.6258,0.486,0.3207,0.2296,0.0
PRPS2,0.9999,0.864,0.7724,0.779,0.6278,0.538,0.1667,0.0805,0.1153,0.0
PRSS8,0.9999,0.8449,0.7334,0.7512,0.6747,0.7669,0.5935,0.3549,0.3156,0.0
PTGER3,0.9999,0.8768,0.7782,0.801,0.6488,0.5753,0.3913,0.2467,0.2316,0.0
PTGFRN,0.9999,0.8555,0.7701,0.7859,0.6273,0.4412,0.3115,0.2401,0.2384,0.0
PTK7,0.9999,0.8474,0.6417,0.4224,0.1928,0.099,0.0835,0.0675,0.0551,0.0
PTPRA,0.9999,0.9166,0.5329,0.0986,0.0852,0.0577,0.0606,0.0478,0.039,0.0
PTPRC,0.9999,0.9047,0.7706,0.555,0.1922,0.0302,0.026,0.0199,0.0129,0.0
PTPRJ,0.9999,0.6565,0.148,0.0487,0.0361,0.0458,0.0313,0.028,0.0293,0.0
PTPRS,0.9999,0.6053,0.1824,0.1381,0.1447,0.0983,0.1155,0.0963,0.1254,0.0
PTRF,0.9999,0.9053,0.6091,0.3233,0.1445,0.0199,0.0801,0.0574,0.0823,0.0
PTTG1IP,0.9999,1.0875,1.07,0.8876,0.9169,1.6194,4.7157,6.8551,7.8838,0.0
PVR,0.9999,0.8153,0.7542,0.7497,0.6148,0.759,0.6411,0.4981,0.4429,0.0
PVRL2,0.9999,0.8841,0.8012,0.7874,0.6671,0.7032,0.5661,0.3686,0.3482,0.0
QSOX2,0.9999,0.924,0.6834,0.5586,0.4993,0.5519,0.6114,0.6395,0.6069,0.0
