Accession,logFC,-logPval,-logAdjPval,DMSO1,DMSO2,DMSO3,DMSO4,DMSO5,MTX1,MTX2,MTX3,MTX4,MTX5
P62424;Q5T8U2;Q5T8U3,0.2713,3.6157,1.2663,108450.0,111330.0,148420.0,108200.0,115380.0,156770.0,109980.0,155070.0,162150.0,154070.0
Q92522,0.2319,3.452,1.2663,68798.0,72302.0,88553.0,76562.0,72599.0,89258.0,72978.0,97859.0,112640.0,87187.0
Q00688;G3V5F2,-0.17,3.3505,1.2663,159370.0,177690.0,215460.0,228680.0,174420.0,171650.0,159830.0,165570.0,173340.0,196980.0
Q92616,0.205,3.3721,1.2663,329040.0,350830.0,442750.0,342250.0,364150.0,430000.0,355430.0,460180.0,491640.0,438750.0
O00567;H0YDU4;H0Y653;Q5JXT2,0.2397,3.3667,1.2663,54759.0,60285.0,71581.0,56368.0,59725.0,72639.0,60143.0,77764.0,80825.0,78075.0
G3V4C1;P07910-2;B2R5W2;G3V2Q1;P07910;G3V4W0;B4DY08;P07910-4;G3V576;P07910-3;G3V555;G3V575;G3V5X6;G3V3K6;G3V251;B4DSU6;G3V4M8;A0A0G2JPF8;A0A0G2JNQ3;P0DMR1;O60812;B7ZW38;B2RXH8;G3V2H6;E5RG71;B3KT61;Q86SE5;Q86SE5-3,0.2116,3.4215,1.2663,315270.0,358620.0,407000.0,325600.0,327480.0,416400.0,341600.0,422040.0,462110.0,434820.0
P11388;P11388-2;P11388-3;P11388-4;J3KTB7,0.2631,3.5017,1.2663,306460.0,314190.0,389030.0,296610.0,328560.0,413820.0,308810.0,435400.0,479490.0,397510.0
P53621;P53621-2,0.1568,3.4991,1.2663,272790.0,297500.0,368980.0,309150.0,303190.0,358610.0,295200.0,358310.0,392650.0,377230.0
Q9NRS6;Q9NRS6-2;E9PMW6;E9PK26;E9PNI5,-0.1976,3.4582,1.2663,87606.0,94626.0,112930.0,115800.0,104710.0,81779.0,75806.0,94377.0,101610.0,109770.0
Q9BQG0;Q9BQG0-2;I3L1L3,0.2229,3.5797,1.2663,141200.0,149610.0,180390.0,144750.0,150650.0,187780.0,144090.0,193170.0,212880.0,188620.0
Q00839,0.2179,3.3442,1.2663,441130.0,458440.0,581700.0,463860.0,459880.0,585220.0,455010.0,610250.0,665350.0,573850.0
Q9H9Y6;Q9H9Y6-3;Q9H9Y6-2;Q9H9Y6-5;Q9H9Y6-4;H7C0D9;C9JJG2;C9JS83;F8WDS4;F8WAK7;F8WBB9;F8WCS3,0.1576,3.4402,1.2663,108630.0,113490.0,147240.0,134660.0,118200.0,145280.0,121520.0,146670.0,156840.0,141600.0
Q01650;A0A0C4DGL4,0.3491,3.4806,1.2663,36161.0,51238.0,49829.0,37397.0,44444.0,57686.0,45335.0,57224.0,63675.0,65770.0
CON__O95678;O95678,-2.1696,3.4257,1.2663,1389.5,18402.0,2261.6,1271.8,1064.3,1192.3,1013.2,1158.1,1334.3,1161.3
P11387;E5RIC7;Q969P6-2;Q969P6;E5RJ33;H0YBR3;H0YC03;E5RGE7;E5RGR4;E5RFE3;E5RGR2;E5RJ95;E5RFS0,0.1814,3.4073,1.2663,125830.0,137730.0,167580.0,138740.0,146850.0,167340.0,146310.0,172210.0,177960.0,172490.0
P46778;G3V1B3;M0R181,0.3435,3.5586,1.2663,69140.0,68663.0,93141.0,62962.0,71839.0,103310.0,67635.0,105830.0,108240.0,95906.0
Q8TF66;Q8TF66-2,-2.3036,3.4203,1.2663,1286.5,19900.0,2200.0,1087.8,990.01,1075.7,926.24,1127.7,1322.0,1150.3
P39023;G5E9G0;H7C3M2;B5MCW2;H7C422;F8WCR1;Q92901,0.2635,3.4537,1.2663,214600.0,222580.0,278300.0,207130.0,217900.0,281910.0,213320.0,305270.0,336220.0,283340.0
A8K878;P55145;H7C2D6,-0.1594,3.532,1.2663,101420.0,106030.0,130310.0,124480.0,108560.0,101620.0,95172.0,103390.0,110340.0,114070.0
P25788-2;P25788;G3V4X5;G3V3W4;G3V5N4;H0YJ03,0.1192,3.4701,1.2663,264610.0,300640.0,391840.0,369170.0,322620.0,351660.0,315580.0,371920.0,398780.0,393540.0
Q93052;C9JUT4;C9J5C8;C9J4E3;C9J2R5;C9JIY7;C9JT42;C9J3U9;C9J1K7;C9JE51,-0.1377,3.5768,1.2663,192440.0,211010.0,256580.0,227940.0,215660.0,204390.0,178710.0,209670.0,220310.0,218150.0
P11498;P11498-2;E9PRE7;E9PS68,0.1424,3.3557,1.2663,110490.0,120670.0,154200.0,138810.0,131400.0,143760.0,134440.0,143840.0,159270.0,160140.0
P62753;A2A3R5;A2A3R7,0.2133,3.4165,1.2663,89248.0,104890.0,130020.0,101550.0,95865.0,133160.0,101160.0,123180.0,137250.0,127130.0
CON__REFSEQ:XP_986630,-2.4477,3.5379,1.2663,1231.3,27594.0,2742.6,1685.2,1239.8,1373.8,1261.1,1017.3,1836.5,1374.8
A0A1W2PPZ5;P23193;A0A1W2PRL9;P23193-2;E5RIS7;B7Z4S1;E5RJ93;E5RK46;A0A1W2PS15;E5RFI1;A0A1W2PPV7,-0.1356,3.3279,1.2566,277460.0,306350.0,368140.0,389340.0,311180.0,287330.0,281130.0,291990.0,344350.0,336620.0
P49023-3,-0.1175,3.3172,1.2524,155830.0,176370.0,221930.0,205340.0,184330.0,176850.0,156400.0,180610.0,187560.0,189000.0
E9PDF6;O43795-2;O43795;H7C2Y7;E7EQD9;A0A0U1RRI3;C9JUP5;C9JYW1,0.2003,3.3027,1.2443,212820.0,230280.0,281170.0,224370.0,224100.0,273560.0,216800.0,291180.0,316990.0,295320.0
Q9UIG0-2;Q9UIG0,0.196,3.2902,1.2381,142600.0,154860.0,186640.0,148740.0,150990.0,186920.0,152840.0,191870.0,209750.0,186010.0
Q9BZE4;Q9BZE4-2;Q9BZE4-3;Q5T3R7,0.2517,3.2644,1.2187,88021.0,91369.0,111940.0,84374.0,87514.0,117710.0,90479.0,119450.0,129730.0,113800.0
P52943;P52943-2;H0YFA4;H0YHD8,-0.1564,3.2481,1.2145,85220.0,92338.0,115770.0,113080.0,95903.0,87115.0,84862.0,91226.0,95911.0,102060.0
Q9BQ61;K7EN60;K7ELS0;K7ERU7,-0.2081,3.2538,1.2145,102760.0,115660.0,140260.0,135910.0,107590.0,101810.0,100390.0,100740.0,103680.0,126330.0
C9J4Z3;P61513;G5E9R3;M0R0A1;Q6P4E4;E9PEL3;M0R2L6;A6NKH3,0.218,3.2302,1.2073,77608.0,87783.0,103800.0,81722.0,80103.0,105710.0,83988.0,102460.0,111920.0,113760.0
Q9P013,-0.1598,3.2284,1.2073,92905.0,102690.0,119640.0,117780.0,99837.0,92029.0,86892.0,99567.0,102810.0,108690.0
G3V203;H0YHA7;J3QQ67;Q07020-2;Q07020;F8VUA6;F8VYV2;A0A075B7A0,0.291,3.2231,1.2073,42564.0,43012.0,53738.0,40319.0,44032.0,56369.0,45183.0,60583.0,66583.0,54861.0
A6NHR9;A6NHR9-2;J3KTL8;A6NHR9-3,0.1775,3.2063,1.1962,66262.0,73586.0,95631.0,84395.0,88169.0,88942.0,84482.0,96967.0,99685.0,102480.0
Q92804-2;Q92804;A0A075B7D9;A0A075B7F4;A0A075B7C1;A0A075B7E4;A0A075B7F2,-0.158,3.1938,1.1894,298460.0,347330.0,428040.0,406620.0,353300.0,308110.0,299470.0,339350.0,340400.0,394510.0
Q9NYH9,0.1802,3.1657,1.1685,66574.0,67684.0,87439.0,78285.0,75213.0,85816.0,70178.0,90093.0,103690.0,88672.0
O95602;B9ZVN9,0.1226,3.1563,1.1685,150370.0,165550.0,207320.0,183840.0,169980.0,190930.0,166360.0,201500.0,218510.0,203870.0
C9JXB8;C9JNW5;P83731,0.2999,3.1585,1.1685,133750.0,143040.0,165200.0,120810.0,131330.0,179310.0,138430.0,195620.0,211630.0,162720.0
M0R1Y2;P33947-2;P33947;P24390,0.598,3.1427,1.1608,5838.1,7683.8,7818.1,4110.0,5706.7,10488.0,6034.2,9877.7,13061.0,10191.0
P18124;A8MUD9;C9JIJ5;C9JZ88,0.2284,3.1379,1.1608,95614.0,102750.0,122120.0,100030.0,98533.0,120310.0,99022.0,139270.0,147180.0,123650.0
Q15637-5,-0.1147,3.1169,1.1451,196750.0,213690.0,265650.0,270000.0,236900.0,211860.0,200040.0,225430.0,248130.0,233760.0
Q9Y3T9,0.1673,3.1047,1.1381,94667.0,99554.0,125570.0,109110.0,106130.0,120410.0,100930.0,125470.0,147800.0,125340.0
I3L2C7;P57678;I3L4A4;I3L399;E7EN12;I3L4M4;I3L1J7,0.1609,3.091,1.1324,64066.0,67098.0,88291.0,74959.0,72145.0,83793.0,74557.0,82593.0,92449.0,87211.0
CON__Q61726,-1.9247,3.0822,1.1324,20626.0,260860.0,30868.0,24418.0,21813.0,18151.0,16645.0,20207.0,25295.0,22070.0
P15880;H0YEN5;I3L404;E9PM36;E9PMM9;E9PQD7;E9PPT0,0.1706,3.0788,1.1324,186470.0,198220.0,254580.0,209950.0,205050.0,234180.0,195570.0,256350.0,289820.0,248410.0
CON__O43790;O43790;A6NCN2;U3KPR1,-1.9261,3.0797,1.1324,2674.8,33830.0,3961.1,2832.5,2586.4,2297.4,2142.2,2573.0,3089.4,2995.5
P36578;H3BM89;H3BTP7;H3BU31,0.2902,3.0729,1.1314,171840.0,180950.0,217010.0,151400.0,167140.0,239430.0,171420.0,242450.0,255560.0,218940.0
O95163;F5H2T0;H0YDF3,0.1336,3.0436,1.1138,80815.0,89016.0,109890.0,109720.0,90458.0,103200.0,95318.0,107810.0,120940.0,112260.0
F8VNT9;F8VV56;F8W022;F8VWK8;P08962-3;P08962-2;P08962,0.6075,3.0462,1.1138,1778.8,1933.8,1999.0,1470.2,2063.9,2555.8,2009.7,3547.5,3917.3,2769.1
O76021;J3QSV6;O76021-2;I3L3U9;I3L3C4;I3L234;J3KPU7;I3L2F2;I3L4T8;I3L1Y4;I3L1A3,0.1788,3.0409,1.1138,178410.0,194000.0,233930.0,194270.0,183380.0,239240.0,191330.0,240970.0,248380.0,227540.0
P30533;D6REW6,-0.1356,3.0283,1.1105,130980.0,144280.0,174110.0,175740.0,145200.0,140860.0,131560.0,140580.0,150560.0,154200.0
Q9H444;P59074,-0.1343,3.0318,1.1105,269730.0,302990.0,348890.0,341380.0,302340.0,276670.0,269210.0,302560.0,303670.0,310750.0
P62280;M0QZC5;M0R1H5;M0R1H6,0.2431,3.0166,1.1035,68763.0,79119.0,87729.0,68252.0,70902.0,92954.0,72644.0,96139.0,102680.0,95385.0
C9J9K3;A0A0C4DG17;P08865;F8WD59,0.128,2.9872,1.0786,238470.0,251340.0,339100.0,309670.0,294670.0,308170.0,264670.0,335090.0,360550.0,338570.0
Q5QPL9;Q9UKM9-2;Q9UKM9;Q5QPM1;Q5QPM2;Q5QPM0,0.2845,2.9698,1.0657,58697.0,63813.0,71468.0,52810.0,56233.0,79475.0,60257.0,79388.0,86203.0,78255.0
Q5H936;Q13530-2;Q13530,0.6275,2.9587,1.059,3310.4,4036.9,3692.5,2103.8,3319.4,5087.6,3460.2,5540.8,7040.5,5826.5
Q9NR30;Q9NR30-2,0.2264,2.9529,1.0577,284010.0,295620.0,367550.0,279020.0,289370.0,366870.0,283820.0,391810.0,432120.0,362370.0
Q9UG63;Q9UG63-2;C9JHK9;C9JZV3,0.177,2.9471,1.0562,145640.0,155390.0,197230.0,158210.0,161940.0,193360.0,151030.0,202160.0,212870.0,194940.0
Q16778;P33778;P23527;P06899;Q6DRA6;Q6DN03,0.1538,2.9258,1.0393,92903.0,95022.0,125570.0,107370.0,100000.0,121590.0,102700.0,121110.0,127780.0,121680.0
P62266;D6RD47;D6RDJ2;D6RIX0;D6R9I7,0.2533,2.893,1.0107,84045.0,89724.0,110000.0,83124.0,90298.0,104110.0,84412.0,123750.0,138020.0,115560.0
P62269;A0A0G2JQH2;Q5GGW2;J3JS69,0.2378,2.8887,1.0107,81922.0,85210.0,104530.0,79014.0,87041.0,109450.0,84092.0,114300.0,122210.0,104510.0
P29375-2;P29375;E7EV89,-0.495,2.8666,0.9928,9040.1,17492.0,14169.0,18933.0,9555.1,8435.7,8765.4,9677.0,10692.0,12591.0
Q01813;Q01813-2;B1APP8;B1APP6;Q5VSR5;H0Y757;V9GYV7;V9GY25;H0Y3Y3,0.1416,2.8467,0.977,286440.0,296890.0,396950.0,334400.0,321690.0,370660.0,297960.0,380130.0,421630.0,387640.0
G5E9W7;G5E9V5;P82650;H7C5F2;H7C5H3;P82650-2;H7C5L9,0.2491,2.8412,0.9757,37788.0,40963.0,48750.0,39881.0,39816.0,52996.0,41501.0,52340.0,59977.0,47667.0
Q9NYL9;H0YNJ8;H0YKU1,-0.1083,2.8234,0.9739,243690.0,280430.0,342560.0,333900.0,289590.0,274450.0,260220.0,273710.0,299190.0,306020.0
O14979-3;O14979-2;A0A087WU03,-0.1161,2.825,0.9739,204560.0,230550.0,273790.0,260680.0,227980.0,218230.0,199660.0,233990.0,239600.0,242280.0
O75691,0.2633,2.8238,0.9739,67776.0,78655.0,85860.0,64497.0,70076.0,92291.0,71571.0,95938.0,108580.0,89038.0
Q7Z6K5;A0A0A6YYH1;Q7Z6K5-2;H0YMP5;H0YL85;H0YL03;H0YMK0,-0.113,2.8279,0.9739,138620.0,161120.0,199120.0,198220.0,162960.0,151500.0,144790.0,160410.0,182380.0,174590.0
Q14764;H3BQK6;H3BRL2;H3BUK7;H3BNF6;H3BP76;H3BPZ2;H3BNF2;H3BUP3;H3BQE7,0.1888,2.815,0.9695,371380.0,402730.0,474530.0,395970.0,387290.0,473640.0,375990.0,483170.0,581180.0,486230.0
P26583;D6R9A6,-0.1194,2.8108,0.9692,160160.0,179630.0,215800.0,219620.0,181580.0,169030.0,164660.0,182960.0,189560.0,195160.0
Q9NRX5,0.4239,2.8044,0.9666,17670.0,22219.0,20682.0,13424.0,17638.0,28379.0,19219.0,24426.0,31055.0,25862.0
A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;P18621;P18621-3;J3QLC8;A0A0A0MRF8;P18621-2;J3KRB3;A0A087WWH0;J3QS96;A0A087WY81;J3KSJ0,0.2155,2.8005,0.9665,192520.0,198900.0,232980.0,189900.0,178930.0,242760.0,200510.0,256180.0,263160.0,229820.0
Q9Y2P8;Q5VZU3;Q9Y2P8-2;Q5VZU2;Q5VYW8,0.2668,2.7565,0.952,24283.0,26270.0,32869.0,26168.0,27435.0,34770.0,26602.0,34997.0,41664.0,32393.0
Q92785;J3KMZ8;Q92785-2;E9PN04;A5PLL3;Q92784;Q8WYB5-3;Q8WYB5-2;Q92794;Q8WYB5,-0.127,2.7594,0.952,95532.0,109660.0,132490.0,127210.0,110520.0,108160.0,90740.0,105550.0,116670.0,119770.0
P62917;G3V1A1;E9PKZ0;E9PKU4;E9PP36,0.1564,2.7809,0.952,92550.0,102620.0,123330.0,105490.0,102120.0,117170.0,99572.0,125030.0,138390.0,124690.0
Q9UHB9-4;Q9UHB9;Q9UHB9-2;Q9UHB9-3;K7EN53;K7EQC2,0.2417,2.7594,0.952,62992.0,66442.0,83270.0,60462.0,65077.0,86410.0,64570.0,87411.0,92271.0,83069.0
Q6P2Q9;I3L0J9;I3L3Z8;I3L1T8,0.1472,2.7578,0.952,457990.0,493370.0,639890.0,548070.0,523440.0,596850.0,494560.0,623270.0,695130.0,624050.0
Q8NEM2;I3L3Z1,0.1267,2.7729,0.952,91413.0,100560.0,130050.0,122340.0,110660.0,119600.0,104250.0,124640.0,145110.0,128240.0
H0Y9V9;P32969;H0Y9R4;E7ESE0;D6RAN4,0.2036,2.7697,0.952,78627.0,82166.0,99225.0,79187.0,82677.0,102120.0,80115.0,103100.0,114960.0,102810.0
F2Z388;P42766,0.2618,2.7578,0.952,43399.0,42712.0,57643.0,43038.0,42196.0,58114.0,46378.0,62613.0,61273.0,54432.0
Q8NFJ5,0.6804,2.7469,0.9495,11255.0,14706.0,10840.0,5708.0,10576.0,17581.0,10332.0,18533.0,26363.0,18602.0
Q9H7B2;Q5VXN0;U3KQN5;Q5VXM9,0.2536,2.7477,0.9495,49099.0,50239.0,61048.0,46957.0,49373.0,63641.0,49396.0,67083.0,72787.0,64553.0
