Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1,V_log2.i._TMT_2,V_log2.i._TMT_3,V_log2.i._TMT_4,V_log2.i._TMT_5,D_log2.i._TMT_6,D_log2.i._TMT_7,D_log2.i._TMT_8,D_log2.i._TMT_9,D_log2.i._TMT_10,D_log2.i._TMT_11
Q9DBB8,-0.0095,0.0764,0.0001,8191048.924205071,7760182.542280846,8448383.152172705,7785727.323264588,8472105.158228556,8299408.137672653,7484736.469594128,8316731.198288911,8263647.112113574,7910358.757347086,8208336.495227611
Q149F1,-0.0103,0.0575,0.0001,559897.3182889107,568178.0374091975,568872.966113485,550677.5493501102,601666.2418555081,591258.0765869629,603036.5344013927,548812.7424025111,534542.1556744719,553893.8940357026,564250.2821458218
Q6QD59,-0.0103,0.0626,0.0001,970690.0168954899,1006250.5007651695,935230.1879196381,1029880.4640887808,1023424.0163372455,1004190.9138829227,1047134.0853667335,963221.4384928676,971256.0426348131,976023.8145174349,956217.1178260099
P97822,-0.0177,0.09,0.0001,3708470.4701468735,4095359.7766816453,3775101.6469382355,3754274.2760852203,4658226.195259689,4337488.5102158105,3370444.978538792,4195656.888238332,3639833.8653201624,4327184.063750219,3830487.3447259893
Q60700,0.0161,0.0763,0.0001,368521.74562107277,353223.0098723248,397636.5652843366,403220.0654607611,419057.0963952297,354227.60110547085,425971.77627021197,399022.7703740196,418675.02782952384,356033.2270128825,402887.97371076874
Q91YE7,-0.0154,0.0478,0.0001,156777.07756102714,153211.47204260417,143628.8193106406,142266.47579965275,178280.3104241962,168630.46422087858,110629.52247987314,153642.1824377409,143628.8193106406,178280.3104241962,164516.82883027685
Q8BX80,-0.0106,0.0542,0.0001,347619.7538877009,340535.1570687362,343514.72741704696,346326.95736550883,361324.00700664596,356460.72065466363,307528.05998641485,350660.83576170757,351998.1239128974,344067.6772013347,361966.73993444233
Q3UUJ4,-0.0178,0.045,0.0001,53206.18871618755,45065.646945900764,49079.23263435769,42565.82480419945,53206.18871618755,50919.74208066924,33165.984714817314,53850.14039535578,50415.85472581409,45065.646945900764,54838.58586769559
Q6P9Q6,0.0066,0.0485,0.0001,3557752.9358735946,3696506.3454127545,3826416.182313042,3981583.847567848,4004737.5380506525,3841852.078578416,3890927.750749273,3732803.167816007,3787290.5722824996,3914697.056907593,3824798.234485484
Q8BPG6,-0.0128,0.0683,0.0001,693392.7465549902,717543.0124179419,751131.5598008289,655018.4061185736,665709.9315440371,705044.3455427436,714600.5908869237,632815.866927882,729699.1950262253,621376.3945532719,740467.2352763602
