Accession,T40,T43,T46,T49,T52,T55,T58,T61,T64,T67,RSD
IPI00251749.1,0.9999,1.1702,0.9027,0.6526,0.6388,0.4414,0.34,0.315,0.2548,0.2017,0
IPI00289535.6,0.9999,0.8553,0.7598,0.5509,0.3662,0.2138,0.115,0.0931,0.0767,0.0611,0
IPI00291351.1,0.9999,0.9374,0.9701,0.7922,0.6723,0.4393,0.2316,0.1575,0.1263,0.0939,0
IPI00291483.3,0.9999,0.8806,0.9471,0.7942,0.2761,0.1087,0.0733,0.0598,0.044,0.0316,0
IPI00291579.7,0.9999,0.938,0.9764,0.7881,0.5538,0.1836,0.1314,0.1145,0.1096,0.0849,0
IPI00292376.4,0.9999,0.9616,0.8849,0.667,0.4281,0.2115,0.1236,0.0927,0.0796,0.0641,0
IPI00292880.5,0.9999,1.0097,0.9112,0.8099,0.6921,0.4769,0.3612,0.3299,0.313,0.2447,0
IPI00294193.4,0.9999,0.903,0.8308,0.7058,0.5693,0.4621,0.337,0.2145,0.2313,0.1569,0
IPI00294840.6,0.9999,1.1006,1.0023,0.635,0.3668,0.1511,0.0875,0.0733,0.0658,0.0466,0
IPI00295457.6,0.9999,1.2283,0.9354,0.816,0.7133,0.522,0.3018,0.2363,0.1795,0.1392,0
IPI00295585.2,0.9999,0.9761,0.8996,0.7835,0.5802,0.4021,0.2591,0.2756,0.1884,0.1491,0
IPI00296724.2,0.9999,0.9609,0.7949,0.5022,0.2736,0.1626,0.0654,0.0617,0.0543,0.045,0
IPI00298625.2,0.9999,1.0529,0.9677,0.8933,0.6349,0.3654,0.2292,0.2142,0.1825,0.1354,0
IPI00299299.3,0.9999,1.0332,0.9124,0.6526,0.5093,0.3307,0.2553,0.2017,0.2267,0.158,0
IPI00300026.6,0.9999,0.9578,0.7539,0.3928,0.2181,0.0783,0.0532,0.0492,0.04,0.033,0
IPI00300408.3,0.9999,0.9587,1.0329,0.9645,0.9152,0.6579,0.2157,0.1204,0.0968,0.0724,0
IPI00301459.2,0.9999,0.9813,0.9745,0.9627,0.8869,0.8143,0.8073,0.7721,0.8036,0.6617,0
IPI00303158.3,0.9999,0.9431,0.8983,0.5148,0.3136,0.1034,0.06,0.0489,0.0397,0.036,0
IPI00303813.5,0.9999,1.1516,1.1705,0.9225,0.6865,0.3788,0.1982,0.1267,0.1157,0.0935,0
IPI00304187.8,0.9999,1.0792,1.074,0.8379,0.6267,0.3222,0.2315,0.183,0.1667,0.1198,0
IPI00304379.1,0.9999,1.014,0.9265,0.6517,0.522,0.3086,0.2355,0.1903,0.1749,0.1421,0
IPI00304692.1,0.9999,1.1908,1.2756,0.9551,0.7977,0.4984,0.4909,0.4114,0.3926,0.3419,0
IPI00304742.5,0.9999,0.9389,0.7705,0.4925,0.3839,0.2894,0.1993,0.149,0.1039,0.0619,0
IPI00304895.6,0.9999,0.838,0.8814,0.8115,0.7329,0.5515,0.306,0.1875,0.1171,0.0834,0
IPI00306087.5,0.9999,0.9425,0.9464,0.8787,0.7914,0.5518,0.242,0.1804,0.1487,0.1217,0
IPI00306260.7,0.9999,1.0191,1.0191,0.8284,0.4476,0.1666,0.1033,0.0834,0.0641,0.0593,0
IPI00306380.10,0.9999,1.0267,0.854,0.4758,0.3932,0.0865,0.0605,0.0545,0.0613,0.0525,0
IPI00306576.1,0.9999,1.0185,1.0265,0.9683,0.9615,0.8118,0.7541,0.7242,0.6844,0.4553,0
IPI00306661.3,0.9999,1.1366,1.1833,1.0403,0.834,0.5835,0.4304,0.357,0.3608,0.2733,0
IPI00328266.4,0.9999,0.9217,0.759,0.554,0.4758,0.3074,0.1867,0.1875,0.1461,0.1192,0
IPI00328276.1,0.9999,0.9775,0.6378,0.4562,0.3736,0.1815,0.1315,0.0993,0.0771,0.0675,0
IPI00328825.2,0.9999,0.907,0.7423,0.4536,0.3455,0.1927,0.1044,0.0928,0.0697,0.0513,0
IPI00328868.3,0.9999,0.9803,0.9613,0.8491,0.7771,0.4701,0.2295,0.147,0.1171,0.0877,0
IPI00328913.2,0.9999,1.0046,0.9516,0.8687,0.748,0.4228,0.2164,0.1579,0.122,0.1117,0
IPI00329488.4,0.9999,1.0867,0.8522,0.5462,0.3976,0.2605,0.1933,0.1657,0.1467,0.1052,0
IPI00329615.5,0.9999,0.9426,0.8814,0.8798,0.8448,0.707,0.5267,0.376,0.2111,0.0974,0
IPI00329635.4,0.9999,0.8644,0.844,0.4975,0.3148,0.166,0.1002,0.0871,0.0853,0.0674,0
IPI00329667.6,0.9999,1.0327,0.9771,0.9252,0.9231,0.7344,0.7518,0.6939,0.7346,0.44,0
IPI00329679.3,0.9999,0.9693,0.859,0.7158,0.4336,0.2341,0.1283,0.0868,0.0652,0.0527,0
IPI00332633.2,0.9999,1.0603,0.9222,0.8944,0.7794,0.5854,0.5178,0.4221,0.3466,0.2217,0
IPI00332841.3,0.9999,0.9191,0.8265,0.5087,0.3684,0.243,0.167,0.1326,0.101,0.0787,0
IPI00334914.2,0.9999,1.3012,1.0049,0.8616,0.6202,0.3055,0.1512,0.1445,0.1163,0.0897,0
IPI00375254.1,0.9999,0.9666,0.9007,0.8025,0.6031,0.367,0.1113,0.0848,0.061,0.0551,0
IPI00375358.2,0.9999,1.0298,0.9709,0.8875,0.8128,0.6402,0.4861,0.4683,0.381,0.28,0
IPI00376570.2,0.9999,0.9439,1.0475,0.8571,0.872,0.7192,0.6499,0.5577,0.6527,0.4859,0
IPI00377128.1,0.9999,0.974,0.9723,0.8552,0.7639,0.4097,0.1723,0.1298,0.145,0.0914,0
IPI00382412.4,0.9999,1.0094,0.9533,0.9925,0.9013,0.7736,0.639,0.397,0.2065,0.1109,0
IPI00384643.2,0.9999,1.1753,0.9454,0.9451,0.9127,0.7452,0.7796,0.7588,0.8191,0.549,0
IPI00384707.2,0.9999,1.0108,0.673,0.2687,0.1611,0.0693,0.0429,0.0362,0.0328,0.0378,0
IPI00384992.7,0.9999,1.0497,1.0891,0.8907,0.8047,0.7509,0.7836,0.6707,0.4855,0.3973,0
IPI00386311.2,0.9999,0.8144,0.4372,0.2009,0.1435,0.0579,0.0458,0.0318,0.026,0.0283,0
IPI00395463.3,0.9999,0.9868,0.8678,0.5827,0.2845,0.1392,0.1137,0.0891,0.0832,0.0845,0
IPI00395768.4,0.9999,0.9886,0.9665,0.8436,0.8144,0.692,0.6149,0.5591,0.5345,0.4073,0
IPI00396174.4,0.9999,0.9852,0.9961,0.9169,0.4964,0.2139,0.128,0.1129,0.0966,0.0727,0
IPI00396406.6,0.9999,1.0242,0.9749,0.8392,0.7088,0.4573,0.3806,0.2732,0.2491,0.1773,0
IPI00399254.3,0.9999,0.9239,0.8583,0.7395,0.7394,0.5092,0.2062,0.1235,0.1049,0.0699,0
IPI00410079.3,0.9999,1.0576,0.8933,0.8985,0.8872,0.5915,0.2977,0.2001,0.153,0.1096,0
IPI00410572.4,0.9999,0.8334,1.0017,0.9047,0.8533,0.7965,0.3015,0.2979,0.2294,0.1902,0
IPI00410714.5,0.9999,0.9626,0.8979,0.8402,0.8097,0.722,0.5495,0.5209,0.4474,0.3023,0
IPI00412229.2,0.9999,1.0138,0.9831,0.9502,0.9174,0.7324,0.8908,0.8135,0.8103,0.7015,0
IPI00412243.4,0.9999,0.939,0.9811,0.8505,0.5595,0.2559,0.1591,0.1285,0.1004,0.0766,0
IPI00412497.2,0.9999,1.0417,1.0659,1.0095,1.0163,0.804,0.639,0.5851,0.4859,0.3523,0
IPI00412539.3,0.9999,1.0529,1.0402,1.0259,0.9115,0.7368,0.5873,0.5248,0.4091,0.3037,0
IPI00412607.6,0.9999,0.5739,0.7924,0.3959,0.3948,0.0883,0.0761,0.0287,0.0262,0.0615,0
IPI00412811.4,0.9999,0.9864,0.9659,0.9012,0.864,0.6194,0.4189,0.2204,0.1605,0.0929,0
IPI00413265.4,0.9999,0.9827,1.0021,0.7281,0.3024,0.1553,0.0961,0.0781,0.0721,0.058,0
IPI00413366.5,0.9999,0.9593,0.9297,0.5836,0.2625,0.1335,0.0798,0.0637,0.0612,0.0534,0
IPI00413853.7,0.9999,0.8926,0.7448,0.6341,0.5528,0.3967,0.4733,0.409,0.3576,0.3608,0
IPI00414179.1,0.9999,0.7817,0.5067,0.3684,0.2938,0.1718,0.0956,0.0926,0.0628,0.047,0
IPI00414985.2,0.9999,0.9299,0.5956,0.2815,0.209,0.1022,0.07,0.046,0.0473,0.0428,0
IPI00418340.6,0.9999,0.9855,0.9112,0.549,0.3787,0.22,0.1482,0.1142,0.0957,0.0751,0
IPI00418603.1,0.9999,0.9995,0.9657,1.0163,0.94,0.781,0.701,0.6008,0.3075,0.1612,0
IPI00418991.5,0.9999,0.934,0.7347,0.5923,0.5461,0.4034,0.3558,0.3469,0.3652,0.2582,0
IPI00419451.4,0.9999,0.8936,0.7432,0.5411,0.4011,0.221,0.1371,0.0956,0.0971,0.0847,0
IPI00419626.2,0.9999,0.7092,0.5646,0.3762,0.3648,0.1571,0.2104,0.1498,0.2106,0.1051,0
IPI00423156.1,0.9999,1.0163,0.984,0.8794,0.7477,0.5058,0.3249,0.2302,0.1801,0.1209,0
IPI00427037.1,0.9999,1.012,0.8644,0.5343,0.2582,0.1163,0.0677,0.0638,0.0542,0.041,0
IPI00427808.5,0.9999,0.9324,0.9103,0.8341,0.7539,0.6232,0.4675,0.418,0.3817,0.2577,0
IPI00429538.1,0.9999,1.1874,1.2536,1.0855,0.9302,0.4627,0.3089,0.2033,0.1925,0.1445,0
IPI00431082.3,0.9999,1.0451,0.8372,0.7166,0.6309,0.4409,0.3786,0.3169,0.2883,0.1984,0
IPI00434390.1,0.9999,1.0457,0.9739,0.6847,0.3218,0.1351,0.1051,0.0806,0.0734,0.0594,0
IPI00439194.1,0.9999,1.0704,0.9261,0.6879,0.4763,0.2994,0.2398,0.2484,0.1815,0.1268,0
IPI00442073.5,0.9999,1.0791,1.0448,1.0396,0.9842,0.8836,0.9287,0.9389,0.9935,0.8575,0
IPI00451941.6,0.9999,0.919,0.7979,0.5028,0.3484,0.1852,0.1089,0.0659,0.0639,0.0451,0
IPI00453458.3,0.9999,0.9693,0.9682,0.7479,0.4616,0.2422,0.1376,0.1251,0.1103,0.0894,0
IPI00456146.1,0.9999,0.9253,0.6408,0.3596,0.2664,0.1087,0.0503,0.0391,0.0346,0.0388,0
IPI00456492.2,0.9999,0.8534,0.9866,0.8365,0.7512,0.6646,0.3646,0.3309,0.2889,0.2082,0
IPI00456664.1,0.9999,0.9701,0.9519,0.9465,0.8763,0.7514,0.6342,0.5876,0.5254,0.2796,0
IPI00456722.3,0.9999,1.0413,0.9926,0.7502,0.4844,0.2471,0.1499,0.1218,0.1065,0.081,0
IPI00456940.5,0.9999,0.645,0.4589,0.2824,0.2111,0.0988,0.0579,0.0506,0.0813,0.0497,0
IPI00465087.2,0.9999,1.0263,0.9874,0.7771,0.66,0.3642,0.135,0.1122,0.1098,0.1022,0
IPI00465288.2,0.9999,0.9698,0.9724,0.8332,0.7793,0.5652,0.3439,0.2973,0.2484,0.2052,0
IPI00470455.1,0.9999,0.8647,0.8678,0.7726,0.7324,0.5331,0.3336,0.2379,0.2061,0.1631,0
IPI00470490.2,0.9999,0.9882,0.9258,0.881,0.7327,0.5852,0.4619,0.386,0.3774,0.28,0
IPI00470776.4,0.9999,0.9717,0.8117,0.5157,0.2625,0.135,0.0928,0.0785,0.0421,0.0571,0
IPI00472864.2,0.9999,1.7971,2.0801,1.2992,1.2766,0.3731,0.3154,0.2638,0.2109,0.5418,0
IPI00477535.6,0.9999,0.9857,1.0108,0.8314,0.589,0.2947,0.1619,0.1382,0.1111,0.0795,0
IPI00477957.3,0.9999,1.0134,0.985,0.9577,0.8557,0.4412,0.116,0.0985,0.0746,0.0629,0
IPI00478068.2,0.9999,0.9479,0.7493,0.355,0.2544,0.1163,0.0703,0.0608,0.0488,0.0419,0
IPI00478376.2,0.9999,0.9744,0.8526,0.5264,0.3332,0.1684,0.1105,0.0924,0.0679,0.057,0
IPI00478410.2,0.9999,0.8891,0.6714,0.4062,0.3176,0.1554,0.1162,0.094,0.0825,0.1353,0
IPI00478496.1,0.9999,1.1039,1.0834,1.1046,1.0236,0.8056,0.7295,0.5509,0.3518,0.1782,0
IPI00479065.2,0.9999,0.887,0.4945,0.3139,0.169,0.0859,0.0701,0.0514,0.0418,0.0339,0
IPI00479912.3,0.9999,0.9516,0.9044,0.7039,0.2849,0.1083,0.0685,0.061,0.0558,0.0388,0
IPI00513853.2,0.9999,0.888,0.9708,0.8774,0.8,0.716,0.5701,0.5432,0.5128,0.3861,0
IPI00513879.3,0.9999,0.8847,0.8184,0.6438,0.5143,0.2665,0.0984,0.0848,0.061,0.0476,0
IPI00514759.3,0.9999,0.8643,0.9236,0.8496,0.8035,0.5089,0.2235,0.1644,0.1293,0.0909,0
IPI00550026.1,0.9999,0.9802,0.957,0.7708,0.5864,0.3973,0.2482,0.2365,0.2173,0.1562,0
IPI00550192.2,0.9999,0.9648,0.9853,0.8632,0.6501,0.3997,0.1891,0.1063,0.0812,0.0624,0
IPI00550431.1,0.9999,0.8251,0.662,0.3541,0.3099,0.1517,0.1069,0.1008,0.0966,0.071,0
IPI00550894.4,0.9999,0.977,0.9502,1.0024,0.9456,0.837,0.9899,0.9098,0.5728,0.0749,0
IPI00553006.1,0.9999,0.9583,0.8439,0.6294,0.6064,0.3557,0.2506,0.169,0.1555,0.0811,0
IPI00556645.3,0.9999,0.9302,0.8166,0.6053,0.4985,0.315,0.2305,0.1679,0.1218,0.1017,0
IPI00619952.3,0.9999,1.0242,0.9713,0.8642,0.7169,0.4222,0.379,0.2939,0.2147,0.1439,0
IPI00640155.1,0.9999,1.1331,1.1586,1.2561,1.1685,0.9295,0.9674,1.0017,1.0157,0.878,0
IPI00641026.3,0.9999,0.7826,0.5915,0.4115,0.3066,0.2046,0.1299,0.1381,0.0857,0.0787,0
IPI00641679.2,0.9999,0.99,0.8364,0.4444,0.2063,0.0957,0.0662,0.0586,0.0464,0.0361,0
IPI00641788.1,0.9999,1.0814,0.99,1.1268,0.8894,0.755,0.6065,0.7539,0.6083,0.4512,0
IPI00642645.1,0.9999,0.959,0.8313,0.5536,0.3651,0.1727,0.1144,0.0837,0.0752,0.0536,0
IPI00643141.1,0.9999,0.9647,0.7717,0.448,0.3283,0.1709,0.0923,0.0682,0.0596,0.0469,0
IPI00644708.1,0.9999,1.071,0.97,0.8798,0.7693,0.4599,0.2636,0.1395,0.0948,0.0812,0
IPI00645153.1,0.9999,0.9826,0.9564,0.7551,0.5051,0.2345,0.1216,0.1095,0.0712,0.0606,0
IPI00646645.3,0.9999,0.8409,0.6278,0.5276,0.4441,0.2892,0.2368,0.2089,0.2384,0.1669,0
IPI00710783.2,0.9999,0.9793,0.842,0.6248,0.5995,0.3314,0.2842,0.2009,0.1608,0.1299,0
IPI00745792.1,0.9999,0.918,0.5216,0.3082,0.2374,0.1462,0.1371,0.1402,0.1295,0.1026,0
IPI00746183.2,0.9999,1.0011,0.9731,0.8592,0.6898,0.2943,0.1371,0.1122,0.0705,0.0591,0
IPI00747017.3,0.9999,0.8908,0.7091,0.5114,0.4265,0.2893,0.1944,0.1752,0.1532,0.1086,0
IPI00783109.1,0.9999,0.9769,0.9634,0.8944,0.7725,0.478,0.2296,0.2114,0.1705,0.1343,0
IPI00783214.2,0.9999,1.0897,1.1132,1.1614,1.1283,0.5555,0.2144,0.1351,0.1023,0.0915,0
IPI00783497.2,0.9999,0.9184,0.7759,0.6695,0.5351,0.2893,0.1206,0.1068,0.0825,0.0627,0
IPI00783502.1,0.9999,1.0532,0.9021,0.8031,0.7243,0.5308,0.4284,0.4527,0.3522,0.2006,0
IPI00783750.1,0.9999,1.0656,0.9785,0.8976,0.7927,0.5782,0.5179,0.4465,0.4683,0.3671,0
IPI00783999.3,0.9999,0.86,0.4908,0.3252,0.2856,0.2044,0.1558,0.1429,0.1486,0.1214,0
IPI00784114.2,0.9999,0.8459,0.5273,0.2408,0.1802,0.0995,0.0516,0.0449,0.0491,0.0425,0
IPI00788907.2,0.9999,1.0964,0.8955,0.6377,0.5091,0.315,0.2556,0.2223,0.1476,0.1715,0
IPI00789455.3,0.9999,1.4556,0.8011,0.519,0.4199,0.2844,0.1375,0.0679,0.0546,0.0522,0
IPI00789618.2,0.9999,1.0557,0.9893,0.9177,0.7659,0.4744,0.2097,0.1453,0.1173,0.0864,0
IPI00789787.1,0.9999,0.9499,0.9583,0.8609,0.8035,0.6182,0.3986,0.2618,0.183,0.1142,0
IPI00791509.1,0.9999,1.0148,0.93,0.8433,0.7452,0.5129,0.3958,0.3061,0.2727,0.1435,0
IPI00791720.1,0.9999,1.0345,0.9879,0.81,0.7613,0.4367,0.1982,0.1327,0.0903,0.0715,0
IPI00792743.1,0.9999,0.9787,0.9991,0.9795,0.8599,0.79,0.541,0.4652,0.3718,0.3053,0
IPI00793906.1,0.9999,1.0617,1.0707,0.9647,0.8311,0.5213,0.2685,0.162,0.1348,0.1016,0
IPI00795842.1,0.9999,1.1995,1.0478,0.9245,0.8104,0.5081,0.2061,0.1438,0.1421,0.111,0
IPI00796204.1,0.9999,1.0612,1.0349,0.9652,0.9337,0.828,0.7399,0.7204,0.7303,0.5617,0
IPI00797384.2,0.9999,0.9634,0.7909,0.7026,0.5783,0.4245,0.3151,0.3127,0.209,0.1748,0
IPI00807364.1,0.9999,0.9623,0.9351,0.666,0.329,0.1632,0.0941,0.0965,0.0786,0.0589,0
IPI00816474.1,0.9999,0.8475,0.6194,0.4051,0.3252,0.1893,0.1183,0.1136,0.0974,0.082,0
IPI00827535.1,0.9999,1.013,1.0495,1.0841,0.819,0.9659,0.4455,0.5925,0.3082,0.2992,0
IPI00828172.1,0.9999,0.9809,0.9649,0.9538,0.8708,0.6687,0.3779,0.2361,0.2108,0.1607,0
IPI00829707.1,0.9999,1.0376,0.9922,0.9936,0.9533,0.7262,0.6421,0.5931,0.5247,0.3209,0
IPI00844050.1,0.9999,1.0119,0.9216,0.8026,0.7123,0.3904,0.2563,0.1445,0.1531,0.1283,0
IPI00845273.1,0.9999,0.8834,0.7694,0.4242,0.2462,0.1519,0.0771,0.0747,0.0637,0.0564,0
IPI00847241.2,0.9999,1.0033,0.7835,0.5661,0.4815,0.2926,0.2028,0.1739,0.1374,0.1123,0
IPI00847504.1,0.9999,0.9537,0.7713,0.4117,0.1943,0.1017,0.0786,0.0666,0.0492,0.0279,0
IPI00847637.1,0.9999,0.8698,0.9421,0.8384,0.7763,0.6401,0.4893,0.4543,0.407,0.3083,0
IPI00853120.1,0.9999,0.9346,0.8776,0.4578,0.3319,0.1667,0.0999,0.0879,0.0823,0.0755,0
IPI00853454.1,0.9999,0.9772,0.9649,0.8339,0.7723,0.6629,0.4828,0.4247,0.3764,0.2686,0
IPI00853598.1,0.9999,1.0431,1.0024,0.989,0.8164,0.4379,0.2518,0.1944,0.1715,0.1308,0
IPI00855946.1,0.9999,0.993,0.8076,0.4845,0.3482,0.1593,0.1178,0.0956,0.0829,0.0598,0
IPI00856051.1,0.9999,1.1621,1.0104,1.0917,1.0191,0.9365,0.7825,0.6719,0.7106,0.5141,0
IPI00869000.1,0.9999,1.1702,0.9319,0.5138,0.4657,0.2473,0.0888,0.1071,0.1006,0.0891,0
IPI00871903.1,0.9999,1.0181,1.1138,0.9915,0.8136,0.5424,0.506,0.4036,0.3977,0.2503,0
IPI00872292.1,0.9999,0.9689,0.8752,0.663,0.4894,0.2644,0.155,0.1305,0.1286,0.1013,0
IPI00872430.1,0.9999,1.0792,1.0763,0.9231,0.823,0.599,0.4149,0.235,0.0913,0.0742,0
IPI00872754.1,0.9999,1.0927,1.0108,1.0366,0.8409,0.4522,0.2228,0.166,0.1171,0.0998,0
IPI00873422.1,0.9999,1.0241,0.8846,0.5998,0.3634,0.1864,0.132,0.1125,0.1018,0.0796,0
IPI00878557.1,0.9999,0.9231,1.0749,0.8244,0.8045,0.5779,0.5047,0.4851,0.5649,0.3608,0
IPI00879253.1,0.9999,1.0581,0.7054,0.5721,0.2958,0.1545,0.1091,0.0854,0.0999,0.0922,0
IPI00879566.1,0.9999,1.0643,0.9846,0.9397,0.8032,0.5843,0.2344,0.0759,0.0558,0.0507,0
IPI00879677.1,0.9999,0.9003,0.6996,0.3952,0.2239,0.0941,0.0566,0.0437,0.0398,0.0313,0
IPI00884105.2,0.9999,0.8266,0.9654,0.9722,0.8067,0.9021,0.5915,0.5444,0.5443,0.4252,0
IPI00894310.1,0.9999,0.909,0.8638,0.656,0.3585,0.1797,0.1157,0.0745,0.072,0.0416,0
IPI00900288.1,0.9999,0.9388,0.9809,0.817,0.5991,0.2767,0.1627,0.1423,0.1376,0.1037,0
IPI00908307.1,0.9999,0.9418,0.8888,0.68,0.4717,0.2563,0.1435,0.1092,0.108,0.0747,0
IPI00915363.1,0.9999,1.0194,0.8736,0.5648,0.4323,0.165,0.0862,0.0816,0.0664,0.0677,0
IPI00916258.1,0.9999,1.0662,0.9327,0.8422,0.7503,0.5444,0.2921,0.1761,0.1103,0.0938,0
IPI00917298.1,0.9999,1.4585,1.4607,1.1354,0.8221,0.4828,0.1829,0.1111,0.2522,0.1233,0
IPI00918021.1,0.9999,1.0365,0.9538,0.9995,0.7847,0.4157,0.1979,0.1578,0.1175,0.0829,0
IPI00000656.2,0.9999,1.015,0.9256,0.8662,0.773,0.5523,0.3664,0.1901,0.1111,0.0831,0
IPI00001453.2,0.9999,1.0718,1.0344,0.9112,0.872,0.5803,0.4363,0.4061,0.4017,0.3001,0
IPI00001541.1,0.9999,0.9017,1.0043,0.9868,0.9291,0.7678,0.6225,0.5884,0.4951,0.3007,0
IPI00001564.1,0.9999,0.9771,0.9609,0.9521,0.8896,0.7313,0.5557,0.4686,0.3834,0.3093,0
IPI00001914.1,0.9999,0.9749,0.9948,1.1956,1.1039,1.0094,0.6909,0.5245,0.3534,0.278,0
IPI00002149.1,0.9999,1.0501,0.9855,0.8653,0.9215,0.6304,0.3896,0.2344,0.1719,0.1051,0
IPI00002347.8,0.9999,3.5922,0.7914,0.717,0.5012,0.2686,0.206,0.1899,0.1225,0.0847,0
IPI00002745.1,0.9999,1.0168,0.9663,1.074,0.9166,0.7729,0.8247,0.827,0.7577,0.6041,0
IPI00002901.5,0.9999,0.987,0.9531,0.9653,0.9095,0.7862,0.7642,0.7021,0.6969,0.4539,0
IPI00002902.5,0.9999,0.9274,0.8452,0.5762,0.4308,0.1785,0.0878,0.0799,0.0633,0.0475,0
IPI00003310.2,0.9999,1.221,0.9638,0.5864,0.3797,0.1482,0.1227,0.1141,0.106,0.0938,0
IPI00003944.1,0.9999,0.8467,0.5591,0.3617,0.2801,0.1446,0.0891,0.0721,0.063,0.0625,0
IPI00004069.2,0.9999,0.8147,0.8516,0.7854,0.6694,0.6298,0.4599,0.3995,0.3638,0.2569,0
IPI00004237.1,0.9999,1.0348,1.0209,0.8647,0.5737,0.2433,0.1259,0.0903,0.0897,0.0727,0
IPI00004290.3,0.9999,0.9039,0.5389,0.2516,0.189,0.1071,0.0677,0.0545,0.0471,0.0399,0
IPI00004317.1,0.9999,0.7185,0.4964,0.2865,0.2054,0.1315,0.079,0.06,0.0479,0.0362,0
IPI00004350.1,0.9999,1.0785,1.0206,0.9226,0.8434,0.6425,0.6471,0.5914,0.4652,0.2968,0
IPI00004353.1,0.9999,0.8903,0.9498,0.8891,0.844,0.8319,0.6399,0.5822,0.4748,0.2361,0
IPI00004389.3,0.9999,1.1028,0.61,0.3139,0.2438,0.0957,0.0823,0.0771,0.0697,0.0616,0
IPI00004488.2,0.9999,1.1947,0.9895,0.9852,0.9069,0.6945,0.5941,0.5291,0.2974,0.2477,0
IPI00004758.5,0.9999,1.2177,0.8494,0.5688,0.4626,0.2014,0.5113,0.4889,0.5118,0.4224,0
IPI00004795.1,0.9999,0.9444,0.9343,0.9027,0.804,0.6723,0.4625,0.4274,0.3269,0.2366,0
IPI00005163.3,0.9999,1.0263,0.8641,0.6779,0.5662,0.3904,0.2552,0.2671,0.1814,0.1186,0
IPI00005270.8,0.9999,0.9883,0.7899,0.502,0.3055,0.1707,0.14,0.1187,0.1103,0.073,0
IPI00005541.1,0.9999,0.8758,0.6402,0.4287,0.3212,0.1752,0.1201,0.0841,0.0747,0.0581,0
IPI00005668.4,0.9999,0.971,0.6707,0.3147,0.2378,0.1159,0.0933,0.0744,0.0524,0.0321,0
IPI00005675.3,0.9999,0.8123,0.5799,0.4241,0.3663,0.2548,0.1806,0.1611,0.1481,0.1165,0
IPI00005914.4,0.9999,0.9807,0.8717,0.5847,0.3482,0.1691,0.1039,0.0891,0.0832,0.0597,0
IPI00006014.1,0.9999,1.0085,0.7261,0.659,0.4617,0.3159,0.2219,0.2138,0.15,0.1029,0
IPI00006108.3,0.9999,0.9594,0.9209,0.8124,0.7684,0.667,0.4988,0.4617,0.4666,0.346,0
IPI00006552.2,0.9999,1.1365,1.0247,0.8407,0.554,0.2722,0.2086,0.1574,0.1492,0.1057,0
IPI00006574.1,0.9999,0.9553,0.8337,0.5068,0.2994,0.1507,0.1116,0.0943,0.081,0.0581,0
IPI00006586.1,0.9999,1.0536,0.9235,0.9128,0.7971,0.6645,0.5619,0.5616,0.4984,0.3932,0
IPI00006615.3,0.9999,1.0277,0.9641,0.7776,0.4447,0.2287,0.1469,0.1143,0.0897,0.0794,0
IPI00006675.2,0.9999,1.0643,0.9379,0.8295,0.7805,0.699,0.5139,0.5265,0.4639,0.3147,0
IPI00006723.5,0.9999,1.1777,1.2528,0.9558,0.6868,0.302,0.1272,0.0994,0.0842,0.0601,0
IPI00006742.2,0.9999,0.8952,0.8861,0.7321,0.4791,0.2487,0.1732,0.1149,0.1239,0.1086,0
IPI00007119.3,0.9999,0.9473,0.9788,0.817,0.6621,0.4038,0.2106,0.199,0.1432,0.1639,0
IPI00007146.3,0.9999,1.1364,0.9107,0.7822,0.4417,0.2055,0.1542,0.1153,0.0883,0.0732,0
IPI00007163.1,0.9999,1.0959,1.1124,1.1984,1.0391,0.9026,0.8421,0.7791,0.5318,0.4316,0
IPI00007411.1,0.9999,0.9753,0.862,0.6218,0.5141,0.2895,0.2455,0.2053,0.2014,0.1442,0
IPI00007691.1,0.9999,1.024,0.9392,0.725,0.5047,0.2905,0.1288,0.0779,0.0656,0.0556,0
IPI00008034.1,0.9999,1.0145,0.922,0.75,0.4983,0.2255,0.1468,0.1281,0.1114,0.0748,0
IPI00008529.1,0.9999,1.0685,0.9108,0.7147,0.6417,0.394,0.338,0.3193,0.2498,0.2256,0
IPI00008531.1,0.9999,1.0398,0.8899,0.5907,0.4158,0.1994,0.135,0.0988,0.0977,0.0741,0
IPI00008986.1,0.9999,1.2143,1.08,1.1297,0.9762,0.7999,1.0781,1.1718,1.0708,0.7527,0
IPI00009258.1,0.9999,0.9545,0.8609,0.6416,0.2987,0.1271,0.0724,0.0609,0.0507,0.0532,0
IPI00009329.2,0.9999,0.6713,0.6609,0.3713,1.0692,0.9244,0.2909,0.1348,0.5622,0.1895,0
IPI00009471.1,0.9999,1.0299,0.6775,0.3728,0.268,0.0913,0.0705,0.1077,0.0563,0.0662,0
IPI00009680.3,0.9999,1.1614,1.0057,0.8085,0.5088,0.2453,0.1321,0.1097,0.0813,0.0867,0
IPI00009922.3,0.9999,0.9666,0.8056,0.471,0.3687,0.2393,0.1977,0.1803,0.1463,0.1117,0
IPI00009950.1,0.9999,1.0569,0.9507,0.8781,0.8166,0.5443,0.344,0.2435,0.2188,0.2781,0
IPI00010433.3,0.9999,0.9643,0.8927,0.8596,0.8088,0.6455,0.5774,0.4322,0.3858,0.2499,0
IPI00011132.2,0.9999,0.942,0.7629,0.6018,0.4809,0.3255,0.187,0.1351,0.1035,0.0744,0
