Accession,T40,T43,T46,T49,T52,T55,T58,T61,T64,T67,RSD
IPI00003031.3,0.9999,0.9445,0.8808,0.7856,0.6736,0.4929,0.3582,0.268,0.1962,0.1117,0
IPI00004233.2,0.9999,0.982,0.9213,0.8378,0.7506,0.6349,0.5439,0.5157,0.4691,0.3306,0
IPI00004324.1,0.9999,0.9546,0.9619,0.9507,0.9078,0.8473,0.7284,0.7301,0.6181,0.4407,0
IPI00004436.1,0.9999,1.0367,1.0202,1.0279,1.0112,0.8994,0.8438,0.8039,0.6608,0.4549,0
IPI00004655.1,0.9999,0.9295,0.9143,0.6919,0.4275,0.2083,0.1332,0.1165,0.1149,0.0902,0
IPI00004968.1,0.9999,0.9672,1.1142,1.2331,1.0932,0.7791,0.5047,0.2153,0.1407,0.1017,0
IPI00005179.1,0.9999,0.9444,0.7223,0.4119,0.2983,0.1459,0.0936,0.0811,0.0726,0.0634,0
IPI00005573.3,0.9999,1.1254,1.0253,1.0872,0.9961,0.9264,1.0079,0.9289,0.3181,0.0988,0
IPI00005667.4,0.9999,0.9491,0.9052,0.7752,0.5857,0.3147,0.1724,0.125,0.104,0.0818,0
IPI00006080.1,0.9999,1.0155,0.9475,0.8622,0.8171,0.6314,0.6188,0.549,0.577,0.3781,0
IPI00007343.1,0.9999,1.0146,1.0184,1.0739,0.9487,0.8811,0.7463,0.7504,0.6188,0.4916,0
IPI00007346.1,0.9999,0.978,0.9688,0.8373,0.5093,0.1712,0.0924,0.0752,0.0642,0.0517,0
IPI00008234.3,0.9999,0.9881,0.9827,1.0043,0.9883,0.8558,0.683,0.298,0.0683,0.0559,0
IPI00008422.5,0.9999,0.9433,0.6632,0.411,0.2745,0.1512,0.1012,0.0759,0.063,0.0505,0
IPI00009322.2,0.9999,0.9749,0.9825,0.9087,0.4568,0.1483,0.0802,0.058,0.0538,0.0421,0
IPI00009707.5,0.9999,1.0912,1.1221,1.0692,0.902,0.4864,0.238,0.2094,0.1661,0.1289,0
IPI00009841.5,0.9999,0.952,0.8943,0.9975,0.8742,0.7412,0.5124,0.5318,0.4448,0.372,0
IPI00009906.5,0.9999,0.9152,0.7723,0.4871,0.3582,0.1698,0.1058,0.0851,0.0709,0.0661,0
IPI00010130.3,0.9999,1.0773,1.0486,1.0705,0.9143,0.7286,0.1183,0.0674,0.0577,0.0501,0
IPI00010270.1,0.9999,0.844,0.5333,0.2675,0.1677,0.0868,0.0651,0.06,0.0489,0.0368,0
IPI00010320.1,0.9999,1.0293,1.041,1.1107,0.985,0.9079,0.8821,0.8702,0.7808,0.6261,0
IPI00010539.1,0.9999,0.9735,0.545,0.3147,0.2175,0.1258,0.0715,0.0634,0.0526,0.0343,0
IPI00011118.2,0.9999,1.0427,0.9614,0.9224,0.891,0.7072,0.6818,0.5834,0.5423,0.2885,0
IPI00011284.1,0.9999,0.9515,0.7676,0.5088,0.3143,0.1463,0.1075,0.0849,0.0743,0.0641,0
IPI00011604.1,0.9999,0.9579,1.0108,1.0419,0.9472,0.8268,0.6299,0.6302,0.4396,0.385,0
IPI00012369.1,0.9999,0.9604,0.9964,0.9486,0.8479,0.6923,0.4661,0.3189,0.208,0.1229,0
IPI00012391.3,0.9999,0.96,0.9651,0.8379,0.7563,0.6021,0.4903,0.4669,0.4638,0.3264,0
IPI00012989.2,0.9999,1.0247,0.978,0.9641,0.8985,0.7655,0.7515,0.7413,0.8073,0.6558,0
IPI00013180.2,0.9999,1.0266,1.0409,0.9556,0.735,0.3933,0.14,0.1007,0.0901,0.0665,0
IPI00013418.1,0.9999,1.0027,1.0224,0.9934,0.8834,0.6392,0.2587,0.1486,0.1123,0.0868,0
IPI00014198.2,0.9999,1.0769,1.1517,1.2555,1.1947,0.9978,0.9142,0.6654,0.3898,0.1945,0
IPI00014344.1,0.9999,0.9494,0.9622,0.8761,0.8054,0.6076,0.4049,0.2089,0.0952,0.0668,0
IPI00015809.1,0.9999,0.9419,0.9453,0.8103,0.6617,0.4025,0.2278,0.1598,0.12,0.075,0
IPI00015923.2,0.9999,1.0021,0.987,0.8909,0.7807,0.5271,0.316,0.2286,0.1885,0.1234,0
IPI00016801.1,0.9999,0.995,1.0236,1.0211,0.7003,0.2536,0.0935,0.0703,0.0615,0.0529,0
IPI00017339.1,0.9999,1.1718,1.1813,1.2778,1.2413,0.8842,0.7195,0.5239,0.3406,0.245,0
IPI00017381.1,0.9999,0.9302,0.5801,0.3075,0.1801,0.0734,0.066,0.0643,0.0592,0.0494,0
IPI00018074.1,0.9999,1.0813,1.0431,0.9107,0.7538,0.5749,0.6216,0.5123,0.4003,0.2586,0
IPI00018744.1,0.9999,0.8987,0.9017,0.8075,0.5478,0.2956,0.1972,0.1558,0.1303,0.0965,0
IPI00019046.4,0.9999,1.0072,0.9673,0.8364,0.6659,0.3544,0.1709,0.1396,0.1173,0.0893,0
IPI00019169.3,0.9999,0.9355,0.9346,0.8022,0.6066,0.4285,0.2792,0.2548,0.2184,0.1721,0
IPI00019205.1,0.9999,0.8975,0.8536,0.6089,0.435,0.2511,0.1628,0.1354,0.1193,0.0925,0
