Accession,T37.0,T44.0,T47.6,T50.5,T53.4,T56.5,T59.1,T62.2,T65.6,RSD
SIRPA,0.9999,1.064,1.0234,0.8789,0.9165,0.8411,0.8077,0.7381,0.7175,0.0
SLC12A2,0.9999,1.0886,1.0731,0.9004,0.7644,0.2443,0.0319,0.0211,0.0451,0.0
SLC12A6,0.9999,1.0072,1.1518,0.9468,0.5986,0.2735,0.1354,0.0656,0.093,0.0
SLC15A4,0.9999,1.4304,1.6459,1.461,1.4214,1.3067,1.5005,4.0987,11.8601,0.0
SLC16A1,0.9999,1.1961,1.3049,1.1065,1.2393,1.69,3.0161,4.3428,4.2848,0.0
SLC16A3,0.9999,1.1099,1.1327,1.1615,1.1764,1.1649,1.7839,1.6459,1.3855,0.0
SLC17A5,0.9999,1.6823,1.698,1.8691,1.8314,1.662,2.0029,3.3075,8.2263,0.0
SLC19A1,0.9999,1.551,1.5437,1.2885,1.2018,2.0967,1.749,1.2058,1.527,0.0
SLC1A3,0.9999,1.3502,0.986,1.2401,0.8177,0.9438,0.9251,0.2594,0.2826,0.0
SLC1A4,0.9999,1.1511,1.0711,0.9595,0.9796,0.8679,0.9084,0.9169,0.731,0.0
SLC1A5,0.9999,1.1368,1.1166,0.9971,0.9959,0.8758,0.8981,0.8376,0.5797,0.0
SLC20A2,0.9999,0.8091,1.0677,0.7874,0.7029,0.6121,0.5463,0.5345,0.691,0.0
SLC25A11,0.9999,1.0451,1.1741,1.0015,1.0123,1.0199,1.1755,0.6675,0.4746,0.0
SLC25A13,0.9999,1.3015,1.315,1.0263,0.895,0.9352,0.8647,0.5423,0.4626,0.0
SLC25A3,0.9999,1.1841,1.25,1.1692,1.2151,1.3592,1.2423,1.1107,1.3042,0.0
SLC25A5,0.9999,1.212,1.316,1.1247,1.1778,1.322,1.2946,1.0894,0.8962,0.0
SLC26A2,0.9999,1.0722,1.0378,0.5719,0.1306,0.0622,0.0483,0.0525,0.0634,0.0
SLC26A6,0.9999,1.4078,1.4633,1.2422,1.0702,1.3324,0.9551,0.1593,0.0578,0.0
SLC29A1,0.9999,1.0787,1.0921,0.8548,0.8416,0.8656,0.9085,0.9402,0.8935,0.0
SLC2A1,0.9999,1.2048,1.1802,1.0553,1.0585,1.1564,1.164,1.143,1.5141,0.0
SLC2A3,0.9999,1.0427,1.0889,0.856,0.7971,0.7239,0.815,0.9452,1.2566,0.0
SLC2A5,0.9999,1.2264,1.1578,1.0299,1.0461,0.9614,0.9834,1.0494,1.0109,0.0
SLC2A9,0.9999,1.1088,1.1236,1.0266,1.0159,1.0951,1.1639,0.8245,0.6762,0.0
SLC30A1,0.9999,1.1045,1.0333,0.8298,0.7581,0.8416,0.8042,0.791,0.3354,0.0
SLC31A1,0.9999,1.0651,1.1069,0.5321,0.5254,0.4064,0.4205,0.5037,0.3934,0.0
SLC38A1,0.9999,1.0572,1.1412,1.0711,1.0347,0.9262,0.8781,0.8926,0.6557,0.0
SLC38A2,0.9999,1.2443,1.1429,1.1812,1.0431,1.0548,0.8957,1.4111,1.8137,0.0
SLC39A14,0.9999,1.0232,0.9847,1.0228,1.0472,0.9394,0.9908,0.5579,0.4012,0.0
SLC39A6,0.9999,1.056,1.0304,0.8902,0.9218,0.7226,0.5676,0.3527,0.2637,0.0
SLC39A8,0.9999,0.8835,1.0719,1.1772,0.9299,0.9671,1.1424,1.1905,1.1054,0.0
SLC43A1,0.9999,1.2822,1.3101,1.1197,1.028,1.0553,1.0713,0.8145,0.205,0.0
SLC44A1,0.9999,1.123,1.1274,0.9905,0.9913,0.9109,0.8976,0.8405,0.8271,0.0
SLC44A2,0.9999,1.0642,1.0232,0.907,0.9371,0.8994,0.8728,0.7024,0.6036,0.0
SLC4A11,0.9999,0.9783,1.0409,0.5671,0.5655,0.295,0.5209,0.1993,0.1143,0.0
SLC4A2,0.9999,1.0754,1.0529,0.8148,0.5061,0.2232,0.1109,0.0973,0.1023,0.0
SLC4A7,0.9999,1.2106,1.1053,0.7044,0.4617,0.2203,0.072,0.0803,0.0701,0.0
SLC5A3,0.9999,1.1015,1.05,0.8727,0.8558,0.7957,0.7634,0.7318,0.4714,0.0
