Accession,T37.0,T44.0,T47.6,T50.5,T53.4,T56.5,T59.1,T62.2,T65.6,RSD
GNAI2,0.9999,1.2196,1.3147,1.0031,0.8264,0.4501,0.3519,0.1937,0.1366,0.0
GNAS,0.9999,1.3376,1.4791,0.9876,0.8779,0.7822,0.5498,0.2333,0.2108,0.0
GNB1,0.9999,1.7573,1.8559,1.2755,0.9069,0.6186,0.43,0.2466,0.1391,0.0
GNB2,0.9999,1.6076,1.4643,1.1625,0.7179,0.369,0.2675,0.1795,0.1387,0.0
GNB2L1,0.9999,1.7429,1.721,1.2757,1.1718,0.9153,0.3387,0.0775,0.0391,0.0
GNG5,0.9999,1.2893,1.3826,1.1185,1.0289,0.9299,1.6026,1.1415,0.8916,0.0
GOLM1,0.9999,1.0174,1.0465,1.0089,0.9019,0.8258,0.9613,1.2503,1.6428,0.0
GOT2,0.9999,1.1432,1.2389,1.2032,1.0884,0.9856,1.4228,1.7082,0.5985,0.0
GPC1,0.9999,1.0027,0.9755,0.8572,0.7363,0.6754,0.694,0.69,0.4518,0.0
GPD1L,0.9999,1.0995,1.0949,0.9812,0.9172,0.663,0.3279,0.0868,0.0537,0.0
GPI,0.9999,1.4407,1.5885,1.0053,0.8695,0.551,0.373,0.2934,0.2095,0.0
GPNMB,0.9999,1.1532,1.1613,1.073,0.8943,0.6795,0.802,0.667,0.8967,0.0
GPR124,0.9999,1.0373,0.9943,0.8008,0.7436,0.542,0.4722,0.3177,0.2216,0.0
GPR172A,0.9999,1.0597,0.9805,0.9548,0.9455,0.8359,1.0301,0.8922,0.9372,0.0
GPR180,0.9999,0.9795,0.8959,0.3621,0.1396,0.026,0.0495,0.1887,0.1451,0.0
GRN,0.9999,1.2292,1.2146,1.0563,0.9547,0.7718,0.9017,0.997,0.9459,0.0
GSR,0.9999,1.1877,1.2397,0.9944,0.9202,0.8272,0.8705,1.2743,1.3919,0.0
GSTP1,0.9999,1.4139,1.417,0.7258,0.5806,0.3191,0.2355,0.2319,0.1551,0.0
HCK,0.9999,1.1474,1.1555,0.4537,0.3264,0.2625,0.2585,0.2572,0.3492,0.0
HCST,0.9999,0.9984,0.9078,0.8186,0.8116,0.8172,0.7625,0.7304,0.5123,0.0
HEATR5B,0.9999,1.0392,1.256,0.4998,0.1812,0.0251,0.183,0.004,0.1618,0.0
HINT1,0.9999,1.6749,1.8655,1.1176,0.8819,0.6581,0.8186,0.6197,0.3467,0.0
HLA-B,0.9999,1.0897,1.1048,0.8722,0.8345,0.6406,0.6612,0.4685,0.416,0.0
HM13,0.9999,1.0407,1.1579,1.0768,0.8595,0.6609,0.6565,0.6275,0.4763,0.0
HMGB1,0.9999,1.1222,1.0266,1.2356,1.0143,0.4524,0.3895,0.406,0.2748,0.0
