Accession,IPI_ID,UniProt_ID,qusm.1.1,qusm.1.2,qusm.2.1,qusm.2.2,qusm.3.1,qusm.3.2,qupm.1.1,qupm.1.2,qupm.2.1,qupm.2.2,qupm.3.1,qupm.3.2,37C_cond1.1.1,37C_cond1.1.2,37C_cond1.2.1,37C_cond1.2.2,37C_cond1.3.1,37C_cond1.3.2,37C_cond2.1.1,37C_cond2.1.2,37C_cond2.2.1,37C_cond2.2.2,37C_cond2.3.1,37C_cond2.3.2,44C_cond1.1.1,44C_cond1.2.1,44C_cond1.3.1,44C_cond2.1.1,44C_cond2.2.1,44C_cond2.3.1,47.6C_cond1.1.1,47.6C_cond1.2.1,47.6C_cond1.3.1,47.6C_cond2.1.1,47.6C_cond2.2.1,47.6C_cond2.3.1,50.5C_cond1.1.2,50.5C_cond1.2.2,50.5C_cond1.3.2,50.5C_cond2.1.2,50.5C_cond2.2.2,50.5C_cond2.3.2,53.4C_cond1.1.2,53.4C_cond1.2.2,53.4C_cond1.3.2,53.4C_cond2.1.2,53.4C_cond2.2.2,53.4C_cond2.3.2,56.5C_cond1.1.2,56.5C_cond1.2.2,56.5C_cond1.3.2,56.5C_cond2.1.2,56.5C_cond2.2.2,56.5C_cond2.3.2,59.1C_cond1.1.2,59.1C_cond1.2.2,59.1C_cond1.3.2,59.1C_cond2.1.2,59.1C_cond2.2.2,59.1C_cond2.3.2,62.2C_cond1.1.1,62.2C_cond1.2.1,62.2C_cond1.3.1,62.2C_cond2.1.1,62.2C_cond2.2.1,62.2C_cond2.3.1,65.6C_cond1.1.1,65.6C_cond1.2.1,65.6C_cond1.3.1,65.6C_cond2.1.1,65.6C_cond2.2.1,65.6C_cond2.3.1,meanlog2Ratio37C,meanlog2Ratio44C,meanlog2Ratio47.6C,meanlog2Ratio50.5C,meanlog2Ratio53.4C,meanlog2Ratio56.5C,meanlog2Ratio59.1C,meanlog2Ratio62.2C,meanlog2Ratio65.6C,meanStDev,pValue_less37C,pValue_less44C,pValue_less47.6C,pValue_less50.5C,pValue_less53.4C,pValue_less56.5C,pValue_less59.1C,pValue_less62.2C,pValue_less65.6C,pValue_greater37C,pValue_greater44C,pValue_greater47.6C,pValue_greater50.5C,pValue_greater53.4C,pValue_greater56.5C,pValue_greater59.1C,pValue_greater62.2C,pValue_greater65.6C,collation.log2Ratio,collation.pValue,collation.pvalue.count,collation.pValue.start,collation.ratio.count,collation.ratio.start,Meltpnt_cond1_1,Meltpnt_cond1_2,Meltpnt_cond1_3,Meltpnt_cond2_1,Meltpnt_cond2_2,Meltpnt_cond2_3,Rsq_cond1_1,Rsq_cond1_2,Rsq_cond1_3,Rsq_cond2_1,Rsq_cond2_2,Rsq_cond2_3,Plateau,Mean_dTm,dTm_pValue,Significance_in_plateau,distancescore,collation.pValue.corrected,pValue37C,pValue37C.corrected,fullfil_all_criteria_collation,fullfil_all_criteria_37
CLASP2,IPI00871686.1,"O75122,E7EW49,E7ERI8",1,,,,,0,1,,,,,0,1,,,,,,0.648677795,,,,,,0.930987013,,,0.87439088,,,1.011944917,,,0.821763361,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0,,,0.029983657,,,0.066408386,,,-0.62442604,-0.090482688,-0.300335849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
CLDND1,IPI00746431.1,A0A0R4J2F2,9,6,7,7,5,9,6,5,6,6,5,7,1,1,1,1,1,1,0.980890312,0.963958716,0.960761906,0.948996431,0.990846459,0.972768225,1.130702324,1.108223059,1.082272323,1.084335948,0.986131724,1.087583377,1.097997808,1.077002264,1.105657317,1.098620634,1.026509692,1.073763601,0.940221027,0.941441782,0.95435688,0.923356227,0.92456682,0.912324201,0.898822405,0.859351016,0.878000971,0.928192052,0.897574571,0.880005917,0.80537504,0.762732006,0.795871879,0.797657525,0.713873708,0.77646578,0.733891678,0.710262079,0.734488759,0.691744952,0.729281846,0.693237483,0.569145485,0.51641164,0.595613437,0.606060162,0.520332347,0.598956272,0.503947045,0.354637426,0.469712539,0.496484345,0.377328699,0.467954843,-0.044527693,-0.073913645,-0.036894607,-0.039063056,0.037487402,-0.048337511,-0.043530885,0.036549929,0.020848112,0.046575317,0.002251213,0.142480615,0.106187407,0.047345585,0.915520073,0.093078094,0.199017456,0.845279282,0.69584919,0.997748787,0.857519385,0.893812593,0.952654415,0.084479927,0.906921906,0.800982544,0.154720718,0.30415081,-0.044527693,0.003067283,3,1,1,1,59.03747495,62.0751503,60.29839679,58.69358717,62.01783567,59.55330661,0.91881278,0.951117569,0.937628563,0.904810617,0.965436673,0.917117323,,-0.382097528,0.788150527,,-0.120518324,,0.002251213,0.056352947,0,1
CLEC12A,IPI00880140.1,Q5QGZ9,9,7,6,10,9,11,7,6,6,8,7,9,1,1,1,1,1,1,1.010420615,1.005949317,1.066658113,1.016603991,1.056621008,1.067101967,1.086071659,1.062996707,1.102351283,1.12603973,1.095943984,1.105628432,1.129229427,1.026367317,1.060248532,1.039637767,1.050875384,1.090990472,0.903371114,0.947069451,0.931163478,0.910768766,0.92699318,0.945564985,0.851358215,0.869570324,0.881949726,0.844434513,0.850540465,0.912453534,0.648747399,0.704264122,0.691139472,0.693391187,0.694845977,0.742646888,0.555826126,0.641776547,0.621701442,0.564249419,0.646879909,0.611548505,0.498698466,0.419593839,0.500874404,0.496240956,0.45116796,0.503012496,0.406352261,0.334445373,0.405174056,0.42370179,0.343951589,0.408479119,0.052254212,0.033485984,-0.014659067,0.00099889,0.001783702,0.06009627,0.00312374,0.034563173,0.037491256,0.045050851,0.987356962,0.92408807,0.402866337,0.521733952,0.525874442,0.864840909,0.579232902,0.784819145,0.94140354,0.012643038,0.07591193,0.597133663,0.478266048,0.474125558,0.135159091,0.420767098,0.215180855,0.05859646,0.052254212,0.020817072,3,1,1,1,55.77054108,59.03747495,57.31803607,55.9997996,59.09478958,57.48997996,0.944048705,0.982646263,0.962422806,0.977348236,0.980691648,0.978056388,64.05250501,0.152839011,0.912046575,,-0.003156037,0.094623052,0.012643038,0.119646313,1,1
CLEC2A,IPI00914678.1,Q6UVW9,14,16,14,19,15,18,9,11,9,12,11,12,1,1,1,1,1,1,0.978322813,0.995686803,1.098065459,1.02460826,0.980513977,1.027341425,1.089321226,1.005389427,1.047282973,1.094211733,1.042905303,1.035771319,1.120615759,1.018338759,1.011562502,1.081595749,1.002139171,1.000022188,0.959965733,0.986012347,0.979374399,1.002798844,0.983368451,0.99327815,0.993599332,0.945827634,0.975977448,0.983656678,0.976689292,0.967572373,0.877785994,0.853385574,0.897356919,0.892023617,0.855286966,0.919731552,0.897268154,0.898862485,0.936797377,0.861793975,0.913237998,0.902665685,0.688693544,0.713703905,0.711571555,0.773703686,0.675381667,0.660893245,0.616678034,0.585303498,0.592730733,0.624084547,0.533847336,0.571196637,0.023784786,0.014456811,-0.030272815,0.026480358,0.006444937,0.020651466,-0.029616999,-0.006098415,-0.05630767,0.052481618,0.803662547,0.725245188,0.051930027,0.845928685,0.611362835,0.920196535,0.188451862,0.475348169,0.161653049,0.196337453,0.274754812,0.948069973,0.154071315,0.388637165,0.079803465,0.811548138,0.524651831,0.838346951,0.020651466,0.098535965,3,4,1,6,61.27274549,,63.27875752,64.25310621,,61.21543086,0.867751708,0.959042323,0.947863657,0.921803356,0.952434948,0.972477375,,0.458517034,0.824630547,,-0.041479012,,0.196337453,0.572773923,0,1
CLEC2B,IPI00021391.5,Q92478,13,10,10,15,12,13,8,5,6,7,7,6,1,1,1,1,1,1,1.053257815,1.031500758,0.98542363,1.000939272,0.995807318,0.999950544,1.060486403,0.970696091,0.980677732,1.076442844,0.968487708,0.966556323,1.020123331,0.936804847,0.882475756,1.035084419,0.975506363,0.927328354,0.825378273,0.884340698,0.840800052,0.856588451,0.878389336,0.850447868,0.83333064,0.78413223,0.836058997,0.815077621,0.789302736,0.81015129,0.777844574,0.701347384,0.788779671,0.770656125,0.673663237,0.815816904,0.770142228,0.740039755,0.817318299,0.725337406,0.743635501,0.760113566,0.68179706,0.71402419,0.722238172,0.792329187,0.710360689,0.666304811,0.8417597,0.649477729,0.813260387,0.848468573,0.68492465,0.84623585,0.015606849,-0.000888555,0.050310406,0.020088355,-0.022627728,-0.007624418,-0.061387612,0.031014667,0.048486823,0.051245136,0.82903676,0.474531216,0.960095102,0.805960989,0.15212444,0.414178142,0.108977189,0.609142695,0.93549756,0.17096324,0.525468784,0.039904898,0.194039011,0.84787556,0.585821858,0.891022811,0.390857305,0.06450244,0.050310406,0.080607198,3,1,1,3,50.21102204,51.7012024,47.9757515,,51.3,49.40861723,0.846945518,0.968591839,0.89137185,,0.964470807,0.789204418,50.46893788,0.391649967,0.818583705,,-0.005513187,,0.17096324,0.534949493,0,1
CLEC5A,IPI00001675.1,Q9NY25,7,6,6,6,8,6,7,6,6,6,7,6,1,1,1,1,1,1,1.109447906,1.154161317,1.095153897,1.079751341,1.089294215,1.133443743,1.08964587,1.024462572,1.04875142,1.177020731,1.048524656,1.076484671,1.140763646,0.980194842,0.975166848,1.120408408,1.023713454,1.053733403,0.956466518,0.931699368,0.960117031,1.046580945,0.988548419,0.944929561,1.037127707,0.922943023,0.984855242,0.995743555,1.009793425,0.991311009,0.900081513,0.885222197,0.884276711,0.944487508,0.863682464,0.932551712,0.943449968,0.920411631,0.923010465,0.932505211,0.94330505,0.938071386,0.685450834,0.699769312,0.692991563,0.784983114,0.73645351,0.758051807,0.515295384,0.473934553,0.531841417,0.552567986,0.467837965,0.555769245,0.150437666,0.060809637,0.049495072,0.06411372,0.026808451,0.03687442,0.01398722,0.132927384,0.048521092,0.059645787,0.999914754,0.931096393,0.827796889,0.853264729,0.662652539,0.791875242,0.765282289,0.968193066,0.848590092,8.52E-05,0.068903607,0.172203111,0.146735271,0.337347461,0.208124758,0.234717711,0.031806934,0.151409908,0.150437666,0.000111344,3,1,1,1,61.96052104,65.3993988,,,64.99819639,,0.877631116,0.942966467,0.951193549,0.951831486,0.894180719,0.907859755,,1.318236473,,,0.115905834,,8.52E-05,0.022050244,0,1
CLIC1,IPI00010896.3,O00299,8,5,7,6,5,5,7,5,6,6,5,5,1,1,1,1,1,1,0.791363399,1.020976642,1.021113999,0.983438058,0.883978016,0.990643714,0.934531995,1.300811837,1.344751985,1.020577058,1.299307034,1.211427393,1.225789338,1.449042054,1.507592841,1.064173957,1.317706515,1.226296527,0.966254849,0.865837728,0.945665372,0.848391833,0.869369843,0.863011849,0.340146039,0.359434608,0.349754707,0.344110347,0.353903474,0.370456842,0.101464259,0.128382831,0.105178983,0.112906179,0.135684636,0.109276941,0.052996749,0.08828592,0.064287561,0.069977107,0.097830634,0.07999038,0.058297134,0.173845983,0.102895341,0.06529543,0.14100867,0.084124844,0.069969299,0.122831474,0.071711683,0.063537536,0.129597763,0.063531173,-0.082177879,-0.008410976,-0.212995472,-0.104583011,0.025768531,,,-0.302025863,,0.103882442,0.114250252,0.463039256,0.022392559,0.105337959,0.754934601,0.958213742,0.969773026,0.224703548,0.211175191,0.885749748,0.536960744,0.977607441,0.894662041,0.245065399,0.041786258,0.030226974,0.775296452,0.788824809,-0.212995472,0.036060878,3,1,1,3,52.73286573,52.38897796,52.73286573,52.44629259,52.38897796,52.61823647,0.970904475,0.874451419,0.863807018,0.99487472,0.90367741,0.946917694,54.76753507,-0.133734135,0.373900966,,-0.32481027,0.11818327,0.114250252,0.424798431,1,1
CLN3,IPI00012448.1,Q13286,2,2,1,2,4,2,2,2,1,2,2,2,1,1,1,1,1,1,0.81827074,1.144593014,0.717502953,0.908819949,0.858228554,1.007195178,1.169171024,1.185904163,1.062572941,1.160083859,0.71856023,1.16890776,1.015132061,1.280660099,1.343771276,0.948928921,1.267993163,1.226421728,1.383949097,1.233562903,1.404703624,0.94979151,0.954978373,1.48354332,1.276898893,1.105572878,1.654650226,1.33748153,1.104054459,1.547604204,1.133522516,1.109923459,1.724763427,0.988715031,0.950585634,1.364682106,1.247501792,1.30929555,1.762832942,1.217885097,1.179762238,1.2179329,0.664302165,2.201967671,1.652432937,0.916324211,2.110923491,1.146933881,1.83450115,4.351573514,3.145454239,1.762716217,3.968761708,2.646467468,-0.153602492,-0.198821368,-0.081156194,-0.277872716,-0.010532615,-0.252863878,-0.23947321,-0.041236657,-0.146545419,0.231855383,0.085502077,0.26601356,0.072679478,0.136199582,0.422314299,0.013960865,0.126534122,0.449320599,0.059656458,0.914497923,0.73398644,0.927320522,0.863800418,0.577685701,0.986039135,0.873465878,0.550679401,0.940343542,-0.252863878,0.026921232,3,4,1,6,,,,,,,0.083839287,0.047450577,0.092674867,0.273522309,0.198054302,0.235550698,37,,,1,-0.373156572,,0.085502077,,0,0
CLNS1A,IPI00004795.1,P54105,1,1,,2,1,1,1,1,,2,1,1,1,1,,1,1,1,0.90044425,0.924190201,,1.046801343,1.027669212,1.072253941,1.011789864,,1.318079767,0.986953363,,1.330774502,1.084398311,,1.34164915,1.006425049,,1.166115943,0.867453334,0.918652191,1.002303026,0.961666634,0.944085797,0.873022444,0.594511573,0.591943857,0.562742107,0.616811905,0.542759572,0.50107741,0.217572044,0.212980076,0.224095805,0.212071092,0.246907136,0.199129646,0.147735453,0.20116082,0.161241062,0.142912243,0.206908347,0.171039895,0.109522788,,0.155339623,0.14456834,,0.185391871,0.128544481,,0.098971342,0.095775659,,0.118023185,-0.011803836,-0.011013712,-0.154975622,-0.003692717,-0.079820596,0.001965743,0.062878093,0.255152114,,0.105195644,0.413462535,0.367166721,0.094331324,0.487296257,0.179503166,0.506180102,0.712508591,0.930551245,0.421615638,0.586537465,0.632833279,0.905668676,0.512703743,0.820496834,0.493819898,0.287491409,0.069448755,0.578384362,-0.154975622,0.094331324,1,3,1,3,53.53527054,53.36332665,53.42064128,53.6498998,52.96212425,52.79018036,0.991991922,0.997375167,0.895790876,0.99787085,0.999977275,0.936893041,56.25771543,-0.305678023,0.316854846,,-0.254452673,,0.413462535,,0,0
CLPTM1,IPI00107357.7,O96005,3,2,2,2,3,2,3,2,2,2,3,2,1,1,1,1,1,1,1.070356441,0.994295327,1.158380697,1.069863407,0.970447163,1.04951706,0.989707836,1.287280551,1.12752249,1.216646681,1.346033249,1.223652675,1.135424173,1.270190307,1.318176254,1.170455317,1.241426013,1.119348491,0.85884781,0.799788773,0.845974141,0.746862985,0.900467341,0.756178692,0.470460094,0.600798638,0.471440703,0.479565425,0.507219835,0.55439164,0.334250769,0.328206031,0.179100664,0.351162799,0.352343375,0.204782679,0.249027642,0.293576619,0.150059593,0.248922626,0.280065101,0.159586761,0.155711143,0.1843482,0.192067401,0.162578345,0.179815622,0.153942607,0.146817092,0.141225686,0.153471408,0.136937829,0.122876691,0.137579744,0.070970152,0.160087035,-0.075030636,-0.064130118,0.005738032,0.122304161,0.006740683,-0.09762405,-0.157701822,0.142701841,0.94404947,0.924260021,0.231702772,0.320837609,0.514646678,0.960401005,0.552197754,0.241620795,0.017103107,0.05595053,0.075739979,0.768297228,0.679162391,0.485353322,0.039598995,0.447802246,0.758379205,0.982896893,-0.157701822,0.06472945,3,7,1,9,52.73286573,53.47795591,52.6755511,52.21703407,52.79018036,52.56092184,0.97248096,0.890376812,0.928988183,0.955890803,0.922736328,0.968985692,56.88817635,-0.439412158,0.226169945,1,-0.257758591,0.167190581,0.05595053,0.2994318,1,1
CLTC,IPI00024067.4,"Q00610,A0A087WVQ6",30,22,23,19,26,24,29,21,20,19,24,23,1,1,1,1,1,1,0.883369973,0.902937371,1.029944733,0.988516722,0.981661462,1.001130448,1.204721063,1.501959572,1.491647625,1.29576692,1.486577756,1.41620217,1.454055886,1.544456291,1.743307711,1.256168452,1.381323808,1.289773417,0.79504401,0.82980747,0.855646256,0.749510027,0.877953986,0.754865339,0.123512234,0.15393283,0.156250873,0.145623495,0.171183615,0.153869426,0.088510676,0.108723936,0.087859357,0.087095558,0.112547335,0.089833254,0.066641942,0.102176444,0.078457532,0.078717635,0.089734138,0.07310521,0.085415631,0.09391167,0.093285337,0.083776489,0.097735224,0.09076201,0.083598341,0.085134171,0.092025947,0.078062266,0.076514802,0.087836712,-0.054230136,0.005125498,-0.268936622,-0.061504477,0.065543004,,,,,0.116444595,0.096127043,0.534169992,0.04275174,0.25311826,0.875286216,0.765960551,0.455956539,0.461855302,0.026055889,0.903872957,0.465830008,0.95724826,0.74688174,0.124713784,0.234039449,0.544043461,0.538144698,0.973944111,-0.268936622,0.056763393,3,1,1,3,51.18537074,51.41462926,51.58657315,51.18537074,51.81583166,51.24268537,0.902901455,0.824081367,0.77695768,0.925802158,0.855126785,0.889667817,52.8761523,0.019104876,0.938437008,,-0.392647137,0.153414575,0.096127043,0.384890034,1,1
CLU,IPI00400826.1,P10909,1,1,1,3,2,1,1,1,1,3,2,1,1,1,1,1,1,1,0.99165406,1.125550054,1.400130819,1.172692475,1.127085638,1.217856682,1.088853572,1.203808124,1.311956656,1.191894154,1.284939212,1.300972963,1.139815881,1.237421771,1.289614981,1.134173775,1.129065747,1.148036141,0.803819435,0.887302737,0.83848406,0.82757641,0.85655603,0.799976238,0.562730834,0.749218703,0.648437937,0.67917251,0.672700576,0.672111324,0.476670549,0.596396078,0.390891143,0.50247561,0.576369574,0.516487722,0.426923683,0.515835733,0.423437413,0.548511808,0.54894689,0.378061984,0.328890168,0.525671987,0.538410008,0.262642311,0.460728252,0.419883452,0.334575303,0.51145024,0.605959496,0.357326028,0.469582917,0.612081893,0.221811152,0.070803914,-0.102379756,-0.025561316,0.055880781,0.142917214,0.095924461,-0.291156539,-0.004600194,0.143238347,0.989584259,0.880152877,0.085148654,0.266070234,0.652689666,0.800370831,0.704195634,0.014896924,0.47449576,0.010415741,0.119847123,0.914851346,0.733929766,0.347310334,0.199629169,0.295804366,0.985103076,0.52550424,-0.291156539,0.108473244,3,1,1,8,52.21703407,53.24869739,51.87314629,52.6755511,51.35731463,50.8987976,0.946914704,0.846886438,0.772030984,0.9570927,0.965262445,0.926223771,54.53827655,-0.80240481,0.299734359,1,-0.419592052,,0.010415741,,0,0
CNN2,IPI00910593.1,B4DUT8,,1,2,1,3,1,,1,2,1,3,1,,1,1,1,1,1,,1.061105496,1.074721588,0.952754328,1.103893751,0.969282412,,1.188925968,1.511038664,,1.219328917,1.584084973,,0.979671789,1.246130762,,0.832395213,0.93140032,0.342292627,0.318709492,0.349933402,0.317942378,0.295384955,0.277606184,0.188919109,0.252705802,0.172423985,0.185187602,0.207822829,0.242951673,0.106013878,0.145735354,0.135812302,0.126333236,0.189321537,0.107270432,0.102837903,0.149744218,0.105714636,0.052738969,0.161400922,0.108870284,,0.137941737,0.070385233,,0.17830975,0.06217218,,0.205830858,0.101139237,,0.183780139,0.097141645,0.043459506,0.052268808,-0.327506005,-0.183383736,0.061274372,0.377487643,0.108148528,0.37032655,-0.163478423,0.154918292,0.818442746,0.906334921,0.087598962,0.067664483,0.593061228,0.647505735,0.25819628,0.606680063,0.1411648,0.181557254,0.093665079,0.912401038,0.932335517,0.406938772,0.352494265,0.74180372,0.393319937,0.8588352,-0.183383736,0.07949966,3,3,1,4,48.43426854,49.58056112,50.26833667,47.5745491,48.60621242,49.12204409,0.999647677,0.970097127,0.873286865,0.998555016,0.981597222,0.880983589,51.04208417,-0.993453574,0.230057261,,-0.288901687,,0.181557254,,0,0
CNNM2,IPI00006084.4,Q9H8M5,4,3,4,5,4,5,4,3,4,5,4,5,1,1,1,1,1,1,1.100725442,0.754899432,0.927981982,0.990074389,0.920944844,0.911982661,1.452739375,1.139437083,1.0868008,1.258226546,1.17799684,1.197244437,1.323377537,1.209918756,1.256126026,1.373777193,1.144055935,1.26293346,0.893227198,0.76023659,0.869727441,0.777455463,0.925161372,1.009036256,0.310246387,0.384791569,0.383272388,0.307984532,0.354340733,0.34613148,0.083912319,0.098069657,0.045499833,0.058749846,0.11883256,0.125406817,0.088881461,0.16252225,0.057799099,0.102456266,0.136621964,0.07208418,0.155780437,0.172851092,0.115353224,0.183599,0.187693288,0.120398107,0.353884384,0.133364415,0.366915562,0.452507101,0.134383096,0.265943792,-0.106857748,-0.006579865,-0.006343943,0.099110724,-0.092182098,,-0.250447813,0.177945738,-0.054832201,0.203259402,0.10093674,0.477616604,0.443601429,0.710487355,0.078555823,0.724601722,0.673662799,0.942818526,0.451250692,0.89906326,0.522383396,0.556398571,0.289512645,0.921444177,0.275398278,0.326337201,0.057181474,0.548749308,0.177945738,0.092954182,2,6,1,8,52.04509018,51.98777555,52.38897796,51.7012024,53.19138277,53.19138277,0.847490726,0.953342955,0.919593455,0.793393482,0.933102128,0.890183004,54.19438878,0.554041416,0.340313152,1,0.149263415,0.214922965,0.10093674,0.400506081,1,1
CNNM3,IPI00168565.2,Q8NE01,5,6,4,3,5,6,5,6,4,3,5,6,1,1,1,1,1,1,1.223195708,0.876118638,0.875481167,1.141855704,1.003745714,0.967217872,1.278832708,1.252478015,1.051621152,1.325147546,1.231138476,1.178580236,1.225787162,1.069578424,1.123959596,1.264193076,1.183186841,1.128599669,0.719728733,0.77695081,0.687604505,0.658004229,0.887283039,0.819116546,0.273922097,0.353737368,0.365890647,0.286623484,0.440161396,0.388193917,0.049622078,0.153061711,0.085337932,0.039244819,0.146499249,0.091396489,0.030461303,0.139926972,0.073984944,0.027230002,0.143747598,0.083004806,0.193584255,0.082246128,0.091666759,0.161412028,0.07728119,0.088397323,0.174616299,0.087911783,0.081912665,0.121813252,0.060514906,0.097701319,0.009448072,0.063656043,0.06536254,0.10490149,0.155370043,-0.063220165,,-0.262213535,-0.519517138,0.141893476,0.544237147,0.816764441,0.871425565,0.765386478,0.903844601,0.256060664,0.552877321,0.086108397,0.206384073,0.455762853,0.183235559,0.128574435,0.234613522,0.096155399,0.743939336,0.447122679,0.913891603,0.793615927,0.155370043,0.07604291,3,3,1,5,51.41462926,52.10240481,51.87314629,51.35731463,52.90480962,52.50360721,0.922896807,0.958959944,0.978959403,0.899269153,0.946670007,0.966144128,55.05410822,0.458517034,0.415955736,,0.121887066,0.184346449,0.455762853,0.954231835,1,1
CNNM4,IPI00418426.5,Q6P4Q7,4,2,5,1,3,3,4,2,5,1,3,3,1,1,1,1,1,1,1.053071137,0.961318271,1.138616249,0.994739004,1.039569142,1.053396566,1.137057405,1.219810512,1.020212859,1.187437549,1.187236186,1.187072886,0.954031168,1.202958663,0.892103311,1.051640333,1.120400888,0.970109916,0.477838217,0.588672951,0.456664702,0.45030115,0.624666222,0.533420917,0.062898757,0.223344083,0.132480816,0.071793839,0.293446774,0.12079469,0.047217962,0.150413179,0.083751464,0.041332698,0.18019652,0.07085434,0.037689003,0.119836751,0.069020158,0.034021816,0.127433362,0.06532816,0.089877439,0.12527345,0.031588133,0.120685788,0.148882871,0.0491682,0.146225495,0.092826571,0.040419973,0.160607603,0.105232899,0.050884689,0.05473248,0.080678264,0.052966154,0.07470874,0.393830813,0.260640169,,,0.135345319,0.125829979,0.915693988,0.802933823,0.71648269,0.753964802,0.784873258,0.376546742,0.289441245,0.969883939,0.9659648,0.084306012,0.197066177,0.28351731,0.246035198,0.215126742,0.623453258,0.710558755,0.030116061,0.0340352,0.135345319,0.0340352,1,7,1,9,50.26833667,50.55490982,50.09639279,50.38296593,50.84148297,50.38296593,0.983903438,0.948083288,0.99883606,0.983660446,0.976613769,0.989117812,52.36032064,0.229258517,0.32207184,1,0.097604145,0.117421413,0.084306012,0.365483048,1,1
CNP,IPI00306667.5,P09543,2,1,,0,2,,2,1,,0,2,,1,1,,,1,,0.916904384,0.895950473,,,0.854190385,,0.814106968,,1.009691529,0.932608886,,0.957051947,0.872464652,,1.191755164,0.969974987,,1.024197712,0.730471479,,,0.631952658,,,0.297118323,,,0.369521692,,,0.23897435,,,0.207174081,,,0.184427499,,,0.264376983,,,0.27556104,,0.225543388,0.170878383,,0.094276599,0.25450894,,0.160634983,0.163088025,,0.136163586,-0.170345449,0.059404173,-0.032871387,-0.20901146,0.314621483,-0.206012252,0.519542797,-0.973917699,-0.440255324,0.239159188,0.014910833,0.630530519,0.444239112,,,,,0.090471908,0.136813394,0.985089167,0.369469481,0.555760888,,,,,0.909528092,0.863186606,-0.170345449,0.014910833,1,1,1,1,51.01342685,,60.41302605,51.52925852,,,0.941868231,,0.96087461,0.97861308,,,54.30901804,-4.183967936,,,-0.273090847,,0.014910833,,0,0
CNTNAP2,IPI00029343.2,Q9UHC6,6,7,,10,6,7,2,2,,2,2,2,1,1,,1,1,1,1.290976071,1.655960804,,0.995342783,1.031829998,1.140809063,1.081288646,,0.881548871,1.136573827,,0.972059736,0.984750275,,0.821769699,1.041617868,,0.860466147,0.923828846,0.91973491,0.870615953,1.090464674,0.889862705,0.972698042,0.916528748,0.885040813,0.879737446,1.065767329,0.928552787,0.97125228,0.828621464,0.853116383,0.875685719,0.836747917,0.796920231,0.935324994,0.83532369,0.754792947,0.804668794,0.904258723,0.863888443,0.907836347,0.574360129,,0.633695397,0.810147321,,0.66703927,0.730490097,,0.678407001,0.783802902,,0.788928011,0.264931758,0.106472063,0.073690291,0.117188585,0.143217825,0.003609058,0.161067168,0.285105418,0.159684401,0.121988263,0.941641902,0.900169062,0.968544102,0.847911013,0.96049179,0.522736174,0.9891784,0.797109459,0.888998329,0.058358098,0.099830938,0.031455898,0.152088987,0.03950821,0.477263826,0.0108216,0.202890541,0.111001671,0.161067168,0.009304261,3,5,1,7,56.9741483,,65.11282565,55.65591182,46.77214429,60.92885772,0.81741852,0.971205769,0.727511783,0.891648597,0.897067212,0.631432117,,-6.591182365,0.361384965,,0.128795667,,0.058358098,0.305985704,0,1
COL1A2,IPI00873137.1,"P08123,A0A087WTA8",1,1,,,,,1,1,,,,,1,1,,,,,1.164319076,1.045105053,,,,,1.255857127,,,1.328127098,,,1.729314584,,,1.267311792,,,1.108017138,,,0.827047381,,,1.118483314,,,0.889969316,,,0.887894821,,,0.624745558,,,0.971452876,,,0.797836905,,,1.359218047,,,1.241766551,,,1.498354122,,,1.205187387,,,0.141567222,0.080720871,-0.448428828,-0.421938307,-0.329716232,-0.507120048,-0.284050156,-0.130382937,-0.314121153,0.110194466,0.839841168,,,,,,,,,0.160158832,,,,,,,,,0.141567222,0.160158832,1,1,1,1,,,,,,,,,,,,,,,,,0.105149117,,0.160158832,,0,0
COMT,IPI00011284.1,P21964,3,,5,1,2,2,3,,5,1,2,2,1,,1,1,1,1,0.787355232,,0.991576218,0.963481893,1.139081617,1.025019112,1.052250268,1.154713673,1.242642471,0.993291966,1.118508726,1.289343858,1.012650028,1.064573457,1.174186412,0.97881449,1.016022837,0.979690724,,0.517987447,0.655718549,,0.542592571,0.592778928,,0.26525886,0.304917546,,0.270619695,0.293923041,,0.130162653,0.095945656,,0.135941861,0.144287454,,0.120496439,0.096547972,,0.09791326,0.117461538,0.143749173,0.067465877,0.075292677,0.17762944,0.09672149,0.122102232,0.104161044,0.062899732,0.086297654,0.102482375,0.047957871,0.110245956,-0.037453289,-0.025306992,-0.125878051,-0.039315192,-0.012057407,,,0.305317054,,0.118184278,0.3445873,0.298799487,0.102461097,0.387207188,0.408795676,0.783763237,0.490958676,0.976769974,0.466416781,0.6554127,0.701200513,0.897538903,0.612792812,0.591204324,0.216236763,0.509041324,0.023230026,0.533583219,0.305317054,0.023230026,1,6,1,8,59.89719439,50.55490982,51.47194389,56.85951904,50.78416834,50.95611222,0.997017935,0.97033397,0.9459015,0.999987868,0.979468457,0.944265636,53.79318637,-1.108082832,0.772473504,1,0.303719858,0.098851174,0.3445873,0.838243714,1,1
