,Accession,Score,Rep1pVal (-log10),Rep1delta_Tm,Rep1Group1_R2,Rep1Group2_R2,Rep1Group1_Tm,Rep1Group2_Tm,Rep1min_Slope,Rep2pVal (-log10),Rep2delta_Tm,Rep2Group1_R2,Rep2Group2_R2,Rep2Group1_Tm,Rep2Group2_Tm,Rep2min_Slope
279,MACF1,0.0,0.303,0.16,0.982,0.993,48.26,48.42,-0.138,6.419,-7.86,0.993,0.896,46.98,39.12,-0.907
278,M6PR,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,37.0,0.0
277,M11S1,0.0,1.219,2.08,0.992,0.997,49.89,51.97,-0.099,0.381,-0.34,0.998,0.995,51.79,51.45,-0.082
276,LYN,0.0,0.325,0.07,0.998,0.998,50.15,50.22,-0.191,0.467,-0.65,0.998,0.994,50.53,49.88,-0.118
275,LRRC8D,0.0,0.377,-0.1,0.994,0.996,52.83,52.73,-0.112,0.729,1.39,0.994,0.994,52.61,54.0,-0.14
274,LRRC8C,0.0,0.381,-0.11,0.992,0.991,52.51,52.4,-0.107,1.529,2.96,0.992,0.973,52.32,55.28,-0.234
273,LRRC8B,0.0,0.428,-0.25,0.997,0.998,53.34,53.09,-0.099,0.777,1.51,0.999,0.997,52.93,54.44,-0.117
272,LRRC8A,0.0,0.561,-0.59,0.997,0.997,53.08,52.49,-0.113,0.803,1.57,0.999,0.999,52.47,54.04,-0.107
271,LRRC4B,0.0,0.698,-0.89,0.989,0.985,57.06,56.17,-0.053,0.362,0.25,0.997,0.993,53.6,53.85,-0.047
270,LRPAP1,0.0,,,0.02,0.0,68.99,68.19,-0.14,,,0.002,0.291,68.03,68.99,-0.216
269,LRIG2,0.0,0.857,1.5,0.985,0.943,53.74,55.24,-0.058,3.192,5.07,0.99,0.978,52.88,57.95,-0.063
298,MTDH,0.0,0.676,1.15,0.977,0.987,54.92,56.07,-0.081,0.482,-0.7,0.984,0.989,55.07,54.37,-0.077
300,MXRA8,0.0,2.283,3.34,0.907,0.902,53.74,57.08,-0.055,0.499,0.74,0.996,0.996,53.27,54.01,-0.068
331,PKM2,0.0,0.361,-0.05,0.859,0.989,61.68,61.63,-0.912,0.424,-0.5,0.902,0.933,61.66,61.16,-0.951
301,MYH10,0.0,0.816,-1.12,0.982,0.99,49.17,48.05,-0.09,0.374,0.3,0.994,0.984,48.76,49.06,-0.103
330,PHB2,0.0,0.986,1.72,0.841,0.903,61.87,63.59,-0.032,2.33,-4.1,0.872,0.926,58.94,54.84,-0.04
329,PHB,0.0,,,0.772,0.889,64.1,64.41,-0.027,0.684,-1.29,0.834,0.881,62.85,61.56,-0.026
328,PFKM,0.0,,,0.586,0.848,62.29,62.43,-0.761,,,0.942,0.798,62.26,61.12,-0.739
327,PDIA6,0.0,,,0.383,0.837,68.99,56.4,-0.097,,,0.526,0.814,68.99,54.81,-0.12
326,PDIA4,0.0,,,0.756,0.919,54.9,53.23,-0.127,,,0.729,0.884,52.78,52.16,-0.161
325,PDIA3,0.0,0.811,-1.11,0.926,0.986,52.54,51.43,-0.121,0.526,-0.84,0.944,0.951,51.65,50.81,-0.129
324,PCYOX1,0.0,0.411,-0.2,0.916,0.958,61.0,60.8,-0.124,0.717,1.36,0.872,0.826,64.41,65.77,-0.055
323,PC,0.0,0.334,0.04,0.988,0.987,49.42,49.46,-0.135,0.386,-0.36,0.994,0.991,49.63,49.27,-0.133
322,PANX1,0.0,,,0.856,0.742,68.99,68.99,-0.045,,,0.116,0.207,68.99,68.99,-0.089
321,PAK2,0.0,0.45,-0.31,0.982,0.984,55.22,54.91,-0.095,0.579,-1.0,0.964,0.993,54.97,53.97,-0.092
320,PAFAH1B2,0.0,0.602,0.99,0.999,0.996,50.89,51.88,-0.164,0.51,-0.79,0.995,0.996,51.05,50.26,-0.097
319,P4HB,0.0,,,0.0,0.186,37.0,68.99,-0.006,,,0.0,0.0,68.91,68.99,-0.0
318,P2RY1,0.0,0.355,-0.03,0.926,0.966,60.81,60.78,-0.029,,,0.796,0.658,62.58,64.01,-0.023
317,P2RX1,0.0,0.354,0.33,0.974,0.895,62.23,62.56,-0.047,,,0.87,0.792,64.06,63.25,-0.027
316,ORAI1,0.0,0.659,-0.81,0.88,0.821,66.81,66.0,-0.035,,,0.857,0.784,66.87,64.32,-0.026
315,NUCB2,0.0,,,0.0,0.0,37.0,68.99,-0.0,,,0.0,0.0,37.0,37.0,0.0
314,NTRK1,0.0,7.56,6.99,0.886,1.0,39.27,46.26,-0.895,5.882,-7.46,0.999,0.959,46.78,39.32,-0.89
313,NSF,0.0,0.302,0.15,0.997,0.996,49.89,50.04,-0.176,0.547,0.89,1.0,0.998,49.39,50.28,-0.186
312,NRD1,0.0,0.341,0.29,0.995,0.996,50.57,50.86,-0.231,0.481,0.68,0.997,0.998,50.28,50.96,-0.463
311,NRAS,0.0,,,0.0,0.0,67.52,68.32,-0.157,,,0.0,0.0,67.21,66.87,-0.179
310,NPTN,0.0,,,0.726,0.647,60.01,60.25,-0.043,,,0.813,0.785,60.01,60.62,-0.05
309,NPC1,0.0,,,0.0,0.0,37.0,68.99,-0.0,,,0.0,0.0,37.0,37.0,0.0
308,NOTCH1,0.0,0.347,0.31,0.995,0.997,47.24,47.55,-0.126,0.445,0.56,0.994,0.996,47.16,47.72,-0.134
307,NEO1,0.0,0.585,0.95,0.999,0.998,53.31,54.26,-0.065,0.595,1.03,0.998,0.997,53.25,54.28,-0.067
306,NCSTN,0.0,,,0.752,0.82,60.38,54.91,-0.046,,,0.06,0.012,68.99,68.99,-0.006
305,NCAM2,0.0,0.384,-0.12,0.984,0.907,58.74,58.62,-0.094,0.988,1.98,0.964,0.91,62.97,64.95,-0.047
304,NAPG,0.0,0.427,0.55,0.998,0.995,48.87,49.42,-0.16,0.347,0.19,0.994,0.989,48.46,48.65,-0.157
303,NAG,0.0,0.436,-0.27,0.988,0.993,46.99,46.72,-0.204,0.387,0.35,0.805,0.937,39.39,39.74,-0.811
302,MYH9,0.0,0.452,0.62,0.989,0.989,51.81,52.43,-0.123,0.484,0.69,0.987,0.98,52.49,53.18,-0.157
398,SDC1,0.0,,,0.758,0.622,65.02,68.99,-0.022,,,0.721,0.28,68.99,68.99,-0.017
400,SDC4,0.0,,,0.837,0.633,61.76,64.14,-0.029,,,0.796,0.152,68.19,68.99,-0.021
267,LNPEP,0.0,,,0.0,0.0,68.99,68.99,-0.0,,,0.0,0.0,37.0,37.0,0.0
498,TMEM8,0.0,0.49,0.72,0.967,0.995,61.25,61.97,-0.032,0.658,-1.22,0.984,0.985,59.39,58.17,-0.038
496,TMEM30A,0.0,0.458,-0.33,0.963,0.954,57.72,57.39,-0.138,0.439,0.54,0.946,0.957,57.09,57.63,-0.115
495,TMEM2,0.0,0.369,0.38,0.992,0.99,56.43,56.81,-0.05,0.331,-0.14,0.996,0.991,56.47,56.33,-0.051
494,TMED10,0.0,0.319,0.09,0.892,0.949,56.86,56.95,-0.139,0.919,-1.85,0.904,0.939,57.38,55.53,-0.11
493,TLR9,0.0,0.458,-0.33,0.985,0.97,54.11,53.78,-0.129,0.505,0.76,0.981,0.994,53.64,54.4,-0.14
492,TLN1,0.0,0.358,-0.04,0.999,0.999,49.72,49.68,-0.194,0.305,0.01,1.0,0.999,49.79,49.8,-0.189
491,TIMP1,0.0,2.102,-2.85,0.966,0.998,62.63,59.78,-0.036,0.719,-1.38,0.966,0.989,61.07,59.69,-0.034
490,TGOLN2,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,37.0,0.0
489,TGFBR3,0.0,1.029,1.79,0.992,0.992,52.96,54.75,-0.064,0.521,0.81,0.996,0.996,54.34,55.15,-0.064
488,TGFB1,0.0,3.118,-3.8,0.946,0.985,59.71,55.91,-0.133,0.559,-0.94,0.954,0.985,55.8,54.86,-0.224
487,TFRC,0.0,,,0.271,0.0,68.99,68.99,-0.629,,,0.249,0.338,68.99,68.99,-0.706
486,TFR2,0.0,0.723,-0.94,0.865,0.894,64.1,63.16,-0.021,0.848,-1.69,0.909,0.939,63.12,61.43,-0.023
485,TFPI,0.0,,,0.726,0.758,68.99,60.36,-0.023,,,0.457,0.665,68.99,61.08,-0.021
484,TES,0.0,0.42,0.53,0.998,0.998,52.42,52.95,-0.2,0.362,0.25,0.993,0.999,52.38,52.63,-0.203
483,TBXA2R,0.0,0.998,1.74,0.864,0.862,55.91,57.65,-0.058,0.769,1.49,0.877,0.906,57.04,58.53,-0.065
482,TAGLN2,0.0,0.319,0.09,0.995,0.992,51.63,51.72,-0.157,0.636,-1.16,0.996,0.995,51.29,50.13,-0.129
