,Accession,Score,pVal (-log10),Rep1delta_SH,Rep2delta_SH,Rep1Group1_R2,Rep1Group2_R2,Rep1Group1_SH,Rep1Group2_SH,Rep1min_Slope,Rep2Group1_R2,Rep2Group2_R2,Rep2Group1_SH,Rep2Group2_SH,Rep2min_Slope
8,ACLY,0.552,0.565,0.118,0.293,0.993,0.995,3.073,2.964,-0.182,0.995,0.998,3.22,3.513,-0.29
509,TSPAN14,0.547,0.589,0.413,0.236,0.984,0.98,4.999,5.412,-0.044,0.979,0.962,5.105,5.252,-0.048
137,CUL5,0.543,0.572,0.17,0.467,0.976,0.998,5.14,5.311,-0.156,0.99,0.968,3.667,3.929,-0.139
355,PTPRC,0.543,0.571,0.101,0.271,0.987,0.988,3.573,3.488,-0.11,0.992,0.993,3.607,3.855,-0.138
78,C1QBP,0.541,0.586,0.402,0.241,0.974,0.986,2.971,3.215,-0.259,0.992,0.984,2.836,2.595,-0.105
77,C17ORF60,0.54,0.583,0.099,0.063,0.978,0.984,5.217,5.296,-0.034,0.988,0.975,5.209,5.237,-0.035
417,SLC19A1,0.54,0.817,0.044,0.061,0.913,0.891,6.024,5.979,-0.029,0.95,0.895,5.771,5.772,-0.034
236,IL17RA,0.532,0.556,0.291,0.109,0.987,0.992,3.882,3.841,-0.066,0.997,0.996,3.665,3.71,-0.064
127,COPB1,0.532,0.544,0.141,0.049,0.993,0.996,2.876,2.742,-0.176,0.995,0.991,2.878,2.832,-0.181
504,TOR2A,0.528,0.65,0.528,0.411,0.933,0.966,4.047,4.437,-0.251,0.987,0.982,4.335,4.014,-0.148
32,ANXA5,0.526,0.529,0.112,0.089,0.999,0.999,2.089,1.977,-0.184,0.999,1.0,1.778,1.77,-0.203
84,CAP1,0.526,0.534,0.155,0.043,0.994,0.999,3.58,3.649,-0.25,0.994,0.994,3.447,3.49,-0.196
307,NEO1,0.525,0.528,0.28,0.325,0.999,0.998,4.04,4.32,-0.065,0.998,0.997,4.115,4.44,-0.067
17,ADCY3,0.524,0.53,0.08,0.12,0.997,0.997,2.087,2.153,-0.169,0.996,0.997,2.358,2.478,-0.158
179,FCGR2C,0.523,0.666,0.373,0.327,0.961,0.923,6.515,6.888,-0.037,0.933,0.908,6.676,6.88,-0.031
465,SNAP29,0.52,0.647,0.241,0.361,0.951,0.942,4.951,5.192,-0.046,0.946,0.938,4.922,4.644,-0.056
162,ENTPD3,0.513,0.541,0.289,0.096,0.997,0.977,4.636,4.925,-0.055,0.977,0.976,4.992,4.897,-0.058
131,CS,0.512,0.525,0.382,0.221,0.988,1.0,2.887,3.211,-0.121,0.998,0.998,2.849,2.983,-0.123
155,EFNB1,0.509,0.519,0.091,0.118,0.997,0.993,4.133,4.223,-0.066,0.991,0.995,4.254,4.361,-0.068
373,RAC2,0.508,0.594,0.188,0.343,0.963,0.96,4.889,4.989,-0.178,0.993,0.973,4.567,4.261,-0.06
245,ITGA2B,0.507,0.513,0.389,0.176,0.998,0.996,4.587,4.198,-0.075,0.998,0.957,4.462,4.616,-0.082
393,RTN4RL2,0.506,0.752,0.044,0.099,0.896,0.916,4.601,4.558,-0.044,0.91,0.884,5.599,5.666,-0.041
178,FCGR2B,0.506,0.582,0.222,0.422,0.963,0.968,5.519,5.43,-0.054,0.987,0.98,5.691,5.291,-0.062
300,MXRA8,0.505,0.755,0.56,0.195,0.907,0.902,4.667,5.118,-0.055,0.996,0.996,3.95,4.143,-0.068
242,IQGAP2,0.503,0.505,0.125,0.094,0.999,0.998,2.122,2.154,-0.187,0.997,0.995,2.039,2.12,-0.206
82,CADM4,0.502,0.797,0.406,0.378,0.903,0.879,6.568,6.162,-0.047,0.98,0.854,6.214,6.592,-0.019
41,ARL15,0.502,0.556,0.363,0.181,0.979,0.971,4.683,5.045,-0.065,0.947,0.953,5.118,4.938,-0.044
147,DNAJA2,0.5,0.51,0.341,0.126,0.996,0.994,3.161,3.441,-0.121,0.997,0.993,3.771,3.709,-0.094
196,GNB1,0.498,0.512,0.334,0.548,0.99,0.996,4.844,5.124,-0.33,0.994,0.962,4.952,4.478,-0.19
298,MTDH,0.497,0.535,0.614,0.418,0.977,0.987,4.316,4.788,-0.081,0.984,0.989,4.39,4.27,-0.077
