,Accession,Score,pVal (-log10),Rep1delta_SH,Rep2delta_SH,Rep1Group1_R2,Rep1Group2_R2,Rep1Group1_SH,Rep1Group2_SH,Rep1min_Slope,Rep2Group1_R2,Rep2Group2_R2,Rep2Group1_SH,Rep2Group2_SH,Rep2min_Slope
518,VAMP7,0.92,1.025,0.204,0.073,0.991,0.956,4.369,3.968,-0.158,0.961,0.96,3.628,3.236,-0.097
404,SEMA4D,0.873,1.763,0.219,0.153,0.83,0.848,6.625,7.089,-0.155,0.973,0.964,6.204,6.897,-0.064
358,PTRF,0.867,0.886,0.143,0.112,1.0,0.99,3.293,3.632,-0.13,0.996,0.996,3.229,3.536,-0.119
36,AP2M1,0.856,0.954,0.204,0.063,0.97,0.976,3.667,3.377,-0.16,0.991,0.997,3.554,3.232,-0.073
29,ANXA1,0.826,0.829,0.073,0.073,0.999,0.999,2.157,2.207,-0.264,1.0,1.0,2.058,1.879,-0.207
293,MPP1,0.825,0.829,0.056,0.056,0.998,0.999,2.253,2.282,-0.146,0.999,0.999,2.237,2.049,-0.133
25,ANK1,0.823,1.039,0.244,0.036,0.892,0.998,1.889,1.95,-0.802,0.997,0.991,1.961,2.184,-0.085
185,FLOT1,0.818,0.892,0.074,0.183,0.983,0.974,4.735,4.346,-0.103,0.977,0.924,4.971,4.274,-0.076
12,ACVR1,0.818,0.819,0.017,0.019,1.0,1.0,1.67,1.712,-0.179,1.0,1.0,1.659,1.624,-0.211
217,HSP90AA1,0.818,0.828,0.023,0.024,0.995,0.999,2.975,2.949,-0.262,0.989,0.991,2.913,2.927,-0.221
497,TMEM33,0.811,1.055,0.07,0.212,0.952,0.921,4.567,4.249,-0.04,0.91,0.932,4.218,3.267,-0.076
35,AP2B1,0.801,0.824,0.142,0.103,0.989,0.997,2.901,3.126,-0.151,0.995,0.999,2.958,3.061,-0.244
455,SLC6A8,0.8,1.361,0.087,0.237,0.899,0.853,6.577,6.781,-0.084,0.972,0.964,6.11,6.918,-0.096
495,TMEM2,0.799,0.828,0.019,0.018,0.992,0.99,4.895,4.98,-0.05,0.996,0.991,5.017,4.992,-0.051
110,CDCP1,0.793,0.811,0.02,0.024,0.994,0.995,4.899,4.921,-0.038,0.997,0.994,4.916,4.783,-0.038
33,ANXA7,0.788,0.809,0.052,0.191,0.994,0.993,2.943,2.837,-0.129,0.996,0.993,3.181,2.613,-0.151
81,CAD,0.781,0.791,0.026,0.033,0.997,0.996,2.514,2.503,-0.163,0.998,0.996,2.591,2.76,-0.145
208,HEPH,0.779,0.792,0.028,0.021,0.996,0.996,4.465,4.608,-0.047,0.999,0.998,4.512,4.477,-0.052
218,HSP90AB1,0.778,0.783,0.014,0.005,0.997,0.999,2.931,2.92,-0.285,0.992,0.992,2.868,2.886,-0.27
442,SLC38A1,0.772,0.857,0.052,0.199,0.979,0.97,7.048,7.064,-0.807,0.992,0.918,7.063,7.295,-0.396
69,BCAM,0.768,0.823,0.017,0.018,0.979,0.987,5.017,5.079,-0.04,0.991,0.985,4.953,4.871,-0.04
52,ATP2A3,0.767,0.787,0.016,0.024,0.991,0.996,3.259,3.252,-0.176,0.998,0.996,3.224,3.244,-0.236
223,HSPD1,0.76,0.828,0.104,0.105,0.975,0.983,5.014,5.229,-0.117,0.954,0.958,4.988,4.66,-0.081
184,FLNC,0.76,0.769,0.005,0.016,0.996,0.998,3.109,3.12,-0.105,0.996,0.996,2.911,2.89,-0.102
346,PRKCB,0.757,0.762,0.048,0.061,0.998,0.999,2.668,2.734,-0.248,0.996,0.994,2.435,2.359,-0.175
395,SARS,0.756,0.796,0.078,0.071,0.977,0.998,4.269,4.334,-0.154,0.965,0.986,4.042,3.827,-0.106
343,PPP2CA,0.755,0.831,0.073,0.073,0.968,0.984,4.251,4.388,-0.072,0.969,0.994,4.129,3.982,-0.083
441,SLC31A1,0.75,0.868,0.111,0.142,0.957,0.972,5.956,5.962,-0.086,0.93,0.92,5.646,6.458,-0.034
239,IL27RA,0.749,0.793,0.018,0.025,0.981,0.99,4.503,4.508,-0.061,0.994,0.996,4.47,4.383,-0.057
366,RAB3GAP2,0.744,0.764,0.029,0.041,0.992,0.995,1.942,1.927,-0.152,0.996,0.994,1.965,2.032,-0.167
228,IFNAR1,0.742,0.752,0.011,0.025,0.994,0.999,3.829,3.791,-0.085,0.996,0.993,4.249,4.358,-0.096
519,VAPA,0.742,0.802,0.055,0.05,0.982,0.98,4.676,4.889,-0.055,0.987,0.98,4.916,4.689,-0.052
492,TLN1,0.739,0.741,0.01,0.006,0.999,0.999,2.399,2.379,-0.194,1.0,0.999,2.508,2.471,-0.189
131,CS,0.739,0.757,0.145,0.088,0.988,1.0,2.887,3.211,-0.121,0.998,0.998,2.849,2.983,-0.123
339,PLXNB2,0.738,0.766,0.015,0.027,0.993,0.989,2.892,2.861,-0.148,0.993,0.987,2.775,2.847,-0.154
130,CPNE1,0.734,0.757,0.168,0.065,0.993,0.991,1.902,2.136,-0.256,0.99,0.984,3.045,3.056,-0.112
256,KEL,0.733,0.766,0.068,0.08,0.994,0.984,4.883,4.527,-0.038,0.992,0.985,4.793,5.248,-0.049
498,TMEM8,0.73,0.789,0.049,0.057,0.967,0.995,5.693,5.921,-0.032,0.984,0.985,5.418,5.121,-0.038
13,ADAM10,0.729,0.828,0.038,0.038,0.967,0.97,4.897,4.958,-0.039,0.988,0.99,4.716,4.599,-0.039
225,ICAM2,0.728,0.757,0.02,0.033,0.991,0.99,4.83,4.74,-0.044,0.984,0.974,4.743,4.838,-0.046
